PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
DeAndre' Bembry,SG,25,ATL,50.333333333333336,7.333333333333333,20.766666666666666,2.6,5.8999999999999995,0.4386666666666667,0.43333333333333335,1.5999999999999999,0.29566666666666663,2.1333333333333333,4.333333333333333,0.49433333333333335,0.47766666666666663,0.7999999999999999,1.3666666666666665,0.586,0.6,2.966666666666667,3.5666666666666664,2.1,1.1333333333333335,0.4666666666666666,1.6333333333333335,1.9333333333333333,6.466666666666668,2019-20,-2.2802293503604254
Vince Carter,PF,43,ATL,64.66666666666667,4.666666666666667,16.6,2.1333333333333333,5.400000000000001,0.3913333333333333,1.2,3.466666666666667,0.3453333333333333,0.9333333333333332,1.9000000000000001,0.4713333333333333,0.502,0.5,0.6666666666666666,0.754,0.3333333333333333,2.0333333333333337,2.4333333333333336,1.0333333333333332,0.5666666666666665,0.4000000000000001,0.6,1.7,5.933333333333334,2019-20,-0.9430215077148356
John Collins,PF,22,ATL,58.666666666666664,42.0,29.100000000000005,6.8,11.933333333333332,0.5730000000000001,0.8333333333333334,2.266666666666667,0.363,5.966666666666666,9.633333333333333,0.6163333333333333,0.6053333333333333,2.6666666666666665,3.5333333333333337,0.7593333333333333,2.9333333333333336,6.133333333333334,9.066666666666668,1.5999999999999999,0.6,1.1,1.7333333333333334,3.1999999999999997,17.2,2019-20,8.953248864186005
Damian Jones,C,24,ATL,31.333333333333332,16.333333333333332,13.033333333333333,1.7000000000000002,2.6,0.632,0.0,0.06666666666666667,0.074,1.7000000000000002,2.5666666666666664,0.64,0.6336666666666667,0.7666666666666666,1.0999999999999999,0.6623333333333333,0.9666666666666668,1.5999999999999999,2.566666666666667,0.6333333333333333,0.3666666666666667,0.6333333333333333,0.5,2.066666666666667,4.233333333333333,2019-20,2.208667972571321
Chandler Parsons,PF,31,ATL,22.0,3.6666666666666665,16.599999999999998,2.2333333333333334,5.800000000000001,0.37133333333333335,1.133333333333333,3.3333333333333335,0.33866666666666667,1.1333333333333335,2.4666666666666663,0.399,0.47100000000000003,0.4666666666666666,0.6,0.5033333333333333,0.26666666666666666,1.9666666666666668,2.233333333333333,1.3999999999999997,0.7000000000000001,0.2333333333333333,0.9666666666666667,1.3,6.066666666666666,2019-20,-6.696109467688391
Evan Turner,SG,31,ATL,57.0,14.0,20.3,2.4666666666666663,5.633333333333333,0.4266666666666667,0.2333333333333333,0.8999999999999999,0.17666666666666667,2.2,4.766666666666667,0.4606666666666667,0.44333333333333336,0.9333333333333335,1.2,0.805,0.43333333333333335,2.766666666666667,3.1999999999999997,2.6999999999999997,0.5333333333333333,0.3333333333333333,1.4333333333333336,1.5666666666666667,6.1000000000000005,2019-20,-2.907182565187284
Tyrone Wallace,SG,25,ATL,35.333333333333336,6.333333333333333,16.633333333333333,2.066666666666667,4.933333333333333,0.39566666666666667,0.16666666666666666,0.9,0.17600000000000002,1.8666666666666665,4.066666666666667,0.4583333333333333,0.4096666666666667,1.0999999999999999,1.5666666666666667,0.6516666666666667,0.39999999999999997,1.8333333333333333,2.233333333333333,1.3333333333333333,0.5666666666666667,0.19999999999999998,0.9333333333333332,1.8333333333333333,5.366666666666666,2019-20,-4.379653537521358
Jarrett Allen,C,21,BRK,74.0,58.333333333333336,24.233333333333334,3.9333333333333336,6.3999999999999995,0.6093333333333333,0.06666666666666667,0.3,0.15533333333333335,3.8666666666666667,6.133333333333333,0.6286666666666667,0.6133333333333333,2.1666666666666665,3.1333333333333333,0.706,2.5,5.3,7.8,1.2333333333333332,0.5,1.3333333333333333,1.1666666666666667,2.1999999999999997,10.066666666666668,2019-20,5.399393874515979
Justin Anderson,SG,26,BRK,32.0,1.6666666666666667,11.333333333333334,1.5333333333333332,4.133333333333333,0.3673333333333333,0.6666666666666666,2.4000000000000004,0.283,0.8666666666666667,1.7333333333333334,0.49300000000000005,0.447,0.4666666666666666,0.7000000000000001,0.66,0.43333333333333335,1.7,2.1,0.6666666666666666,0.3,0.3666666666666667,0.43333333333333335,1.2333333333333334,4.233333333333333,2019-20,-3.2204487569510984
Wilson Chandler,PF,32,BRK,53.333333333333336,35.666666666666664,25.258823529411767,2.701960784313725,6.362745098039216,0.4194628820960699,1.1607843137254903,3.307843137254902,0.34751035781544254,1.6078431372549022,3.088235294117647,0.5313679653679654,0.5130349344978166,0.7235294117647059,0.9,0.7943921568627452,0.8784313725490195,3.6843137254901954,4.576470588235294,1.6058823529411768,0.5274509803921569,0.40392156862745104,1.0411764705882354,2.264705882352941,7.298039215686276,2019-20,0.2294118913597223
Jamal Crawford,SG,39,BRK,48.333333333333336,0.0,15.199999999999998,2.8666666666666667,6.7,0.43733333333333335,1.0999999999999999,3.033333333333333,0.38766666666666666,1.7666666666666666,3.7000000000000006,0.4766666666666666,0.528,0.9333333333333332,1.0333333333333332,0.5826666666666667,0.13333333333333333,0.7333333333333334,0.8333333333333334,2.966666666666667,0.3333333333333333,0.10000000000000002,0.9,1.0999999999999999,7.733333333333334,2019-20,-4.406688443072479
Spencer Dinwiddie,PG,26,BRK,70.66666666666667,37.0,29.36666666666667,5.366666666666667,12.9,0.4146666666666667,1.8333333333333333,5.7,0.323,3.5333333333333337,7.166666666666667,0.4883333333333333,0.488,4.1000000000000005,5.2,0.799,0.4666666666666666,2.6,3.033333333333333,6.0,0.7000000000000001,0.3,2.1666666666666665,2.6333333333333333,16.666666666666668,2019-20,0.8332872674336813
Henry Ellenson,C,23,BRK,20.666666666666668,0.0,8.454385964912282,1.2298245614035088,3.4000000000000004,0.3079649122807017,0.4701754385964912,1.4666666666666668,0.26275438596491224,0.7596491228070176,1.9666666666666666,0.3699941520467836,0.3613157894736842,0.5666666666666667,0.7192982456140351,0.532811369509044,0.32280701754385965,1.9824561403508774,2.2719298245614037,0.519298245614035,0.15263157894736842,0.029824561403508767,0.31578947368421056,0.7491228070175439,3.466666666666667,2019-20,-9.082552073080445
Joe Harris,SF,28,BRK,74.33333333333333,53.0,28.766666666666666,4.766666666666667,9.733333333333334,0.4923333333333333,2.2666666666666666,5.2,0.439,2.5,4.566666666666666,0.5566666666666666,0.61,1.1333333333333333,1.4666666666666668,0.7909999999999999,0.7666666666666666,3.066666666666667,3.7999999999999994,2.033333333333333,0.5,0.2333333333333333,1.4333333333333333,2.2333333333333334,13.0,2019-20,2.4935101940926847
Kyrie Irving,PG,27,BRK,49.0,49.0,32.699999999999996,9.299999999999999,19.133333333333336,0.48533333333333334,2.733333333333333,6.8,0.40099999999999997,6.566666666666666,12.333333333333334,0.532,0.557,3.9333333333333336,4.4,0.8946666666666667,0.9333333333333335,3.733333333333333,4.666666666666667,6.133333333333333,1.3333333333333333,0.43333333333333335,2.5,2.4,25.2,2019-20,5.504053944182451
DeAndre Jordan,C,31,BRK,67.33333333333333,50.666666666666664,27.722705314009662,4.12415458937198,6.366666666666667,0.6509725009290227,0.0,0.0,0.0,4.12415458937198,6.366666666666667,0.6509725009290227,0.6509725009290227,2.1999999999999997,3.38743961352657,0.6530206378986868,3.351690821256039,9.403864734299518,12.755555555555555,1.8917874396135268,0.4816425120772947,0.9666666666666667,1.7666666666666666,2.339130434782609,10.424154589371982,2019-20,4.282900928328297
