PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SG,28,ATL,73.71428571428571,61.285714285714285,26.5,3.9357142857142855,9.450000000000001,0.4193571428571428,1.3071428571428572,3.614285714285714,0.3504285714285714,2.6857142857142855,5.778571428571429,0.4635000000000001,0.4873571428571428,1.542857142857143,2.142857142857143,0.7308571428571428,0.5214285714285715,3.142857142857143,3.7285714285714286,2.2714285714285714,1.1928571428571428,0.6214285714285713,1.6785714285714286,2.257142857142857,10.757142857142856,2017-18,1.6060384111698347
Dewayne Dedmon,C,28,ATL,69.64285714285714,30.571428571428573,15.757142857142856,1.942857142857143,3.2642857142857147,0.5997142857142858,0.0,0.0,0.0,1.942857142857143,3.2642857142857147,0.5999285714285715,0.5997142857142858,0.9071428571428571,1.2214285714285715,0.7015714285714285,1.5785714285714285,4.1,5.6499999999999995,0.45714285714285713,0.4571428571428572,0.7999999999999999,0.75,2.257142857142857,4.8,2017-18,3.97533778938349
Jeremy Evans,SF,30,ATL,34.857142857142854,1.5714285714285714,8.707142857142857,1.0,1.8142857142857143,0.5437857142857143,0.09285714285714286,0.35000000000000003,0.275,0.8714285714285713,1.4642857142857142,0.6418571428571428,0.5750000000000001,0.55,0.7571428571428572,0.7441428571428571,0.5857142857142856,1.4499999999999997,2.0357142857142856,0.19999999999999998,0.2571428571428571,0.32857142857142857,0.19999999999999998,0.7642857142857142,2.664285714285714,2017-18,-2.1190235776207818
Mike Muscala,C,26,ATL,65.0,2.5,14.964285714285714,2.064285714285714,4.071428571428571,0.5061428571428571,0.5214285714285715,1.2714285714285716,0.38592857142857145,1.6071428571428572,2.8285714285714287,0.5537142857142857,0.5637142857142857,0.6357142857142858,0.8214285714285714,0.7824285714285715,0.9714285714285715,1.9714285714285715,2.971428571428571,1.1142857142857143,0.3428571428571429,0.5642857142857143,0.6928571428571428,1.3357142857142856,5.278571428571429,2017-18,2.609229825750334
Miles Plumlee,C,29,ATL,51.57142857142857,13.714285714285714,12.175401174168298,1.4064187866927593,2.6278473581213313,0.5160245463757305,0.0,0.0,0.0,1.4064187866927593,2.6278473581213313,0.5160245463757305,0.5160245463757305,0.5534246575342465,0.8887084148727985,0.6155676477831126,1.0832681017612524,1.660821917808219,2.7712328767123284,0.4309980430528375,0.35299412915851264,0.4854207436399217,0.6792759295499022,1.4876908023483364,3.3781213307240705,2017-18,-0.8804122394778756
Dennis Schröder,PG,24,ATL,79.14285714285714,52.57142857142857,27.457142857142856,5.871428571428572,13.314285714285715,0.4407142857142857,1.1714285714285715,3.3714285714285714,0.33564285714285713,4.792857142857144,9.878571428571428,0.47800000000000004,0.4847857142857143,2.4499999999999997,2.8785714285714286,0.8347142857142857,0.43571428571428567,2.4285714285714284,2.885714285714286,5.6000000000000005,0.8785714285714287,0.16428571428571428,2.914285714285714,1.8214285714285714,15.364285714285714,2017-18,0.0998890990609915
Quincy Acy,PF,27,BRK,46.142857142857146,10.5,14.998120300751879,1.8924812030075184,4.261278195488721,0.4512002012072435,0.7229323308270678,1.8221804511278197,0.39113527180783814,1.186842105263158,2.449248120300752,0.4716331088266572,0.5343621730382294,1.0413533834586466,1.468045112781955,0.7263960396039604,0.7552631578947369,2.453007518796992,3.1469924812030072,0.5390977443609022,0.3879699248120301,0.406390977443609,0.5624060150375939,1.769548872180451,5.649248120300752,2017-18,0.7717855795833078
DeMarre Carroll,PF,31,BRK,58.714285714285715,57.5,27.642857142857142,3.4571428571428577,8.52142857142857,0.40307142857142864,1.5999999999999999,4.421428571428572,0.35885714285714293,1.8214285714285714,4.071428571428571,0.4618571428571428,0.4975714285714285,1.2428571428571427,1.7571428571428573,0.7107857142857144,1.0214285714285714,3.142857142857143,4.164285714285714,1.05,1.2857142857142858,0.32857142857142857,0.9071428571428571,2.1285714285714286,9.764285714285716,2017-18,3.521766346438458
Allen Crabbe,SG,25,BRK,77.57142857142857,7.428571428571429,26.707142857142856,3.614285714285714,7.885714285714286,0.46142857142857147,1.5357142857142858,3.5642857142857136,0.42292857142857143,2.107142857142857,4.321428571428571,0.4942142857142858,0.5587142857142857,1.192857142857143,1.45,0.8457857142857143,0.22142857142857145,2.4214285714285717,2.7357142857142853,1.1714285714285713,0.7071428571428572,0.2714285714285714,0.7642857142857142,2.207142857142857,10.057142857142859,2017-18,4.481188895601807
Spencer Dinwiddie,PG,24,BRK,43.785714285714285,11.642857142857142,19.285714285714285,2.042857142857143,4.921428571428572,0.40757142857142853,0.4428571428571428,1.457142857142857,0.2835,1.5357142857142858,3.4642857142857144,0.4509285714285714,0.4531428571428571,1.8714285714285717,2.607142857142857,0.7388571428571428,0.41428571428571426,1.8857142857142857,2.3000000000000003,2.7285714285714286,0.5785714285714285,0.27142857142857146,0.9500000000000001,1.8857142857142857,6.371428571428572,2017-18,1.1919365617473736
Joe Harris,SG,26,BRK,38.5,7.142857142857143,15.628571428571428,2.05,4.8999999999999995,0.37321428571428567,1.1285714285714286,3.107142857142857,0.34528571428571425,0.8571428571428573,1.7857142857142858,0.34807142857142853,0.49400000000000005,0.4642857142857143,0.6,0.5018571428571429,0.19999999999999998,1.8285714285714287,2.0285714285714285,0.7928571428571428,0.3928571428571428,0.1285714285714286,0.8,1.6214285714285714,5.635714285714285,2017-18,2.492865333698708
Jeremy Lin,PG,29,BRK,50.714285714285715,27.071428571428573,25.107142857142858,4.5,10.421428571428569,0.4295714285714286,1.3785714285714286,3.764285714285714,0.3615,3.1571428571428575,6.664285714285714,0.4677142857142857,0.4942142857142858,3.15,3.8214285714285716,0.8142142857142857,0.36428571428571427,3.1214285714285714,3.5428571428571423,4.464285714285714,1.05,0.42857142857142855,2.242857142857143,2.2,13.464285714285714,2017-18,-1.6812503456833885
Timofey Mozgov,C,31,BRK,62.214285714285715,52.857142857142854,19.889947089947093,3.0405643738977077,5.764109347442681,0.5319823066841415,0.003086419753086414,0.034744268077601406,0.07657142857142858,3.0405643738977077,5.732451499118166,0.536084768329487,0.5327742715999596,1.1652557319223986,1.462169312169312,0.7751855227527905,1.7990299823633156,3.128747795414462,4.927777777777778,0.6764550264550265,0.3071428571428571,0.7000000000000001,1.193827160493827,2.4104056437389767,7.2494708994709,2017-18,-0.2377671494228241
Aron Baynes,C,31,BOS,76.35714285714286,2.7857142857142856,15.450000000000001,2.0928571428571425,4.057142857142858,0.5145,0.0,0.0071428571428571435,0.017857142857142856,2.0928571428571425,4.05,0.5156428571428571,0.5145714285714286,1.2571428571428573,1.5142857142857145,0.8200714285714286,1.5642857142857143,3.0,4.492857142857143,0.4642857142857143,0.2285714285714286,0.5142857142857142,0.7428571428571429,2.1214285714285714,5.421428571428572,2017-18,0.693346685699995
Gordon Hayward,SF,27,BOS,75.21428571428571,75.21428571428571,34.978571428571435,7.135714285714286,15.464285714285714,0.4582857142857143,1.9142857142857144,5.042857142857143,0.3815714285714286,5.1571428571428575,10.421428571428573,0.4959285714285714,0.5211428571428571,4.964285714285714,5.942857142857143,0.8360000000000001,0.7285714285714285,4.521428571428571,5.25,3.6,1.0857142857142856,0.3071428571428571,2.1285714285714286,1.807142857142857,21.085714285714285,2017-18,-5.107092664747485
Al Horford,C,31,BOS,72.57142857142857,72.57142857142857,32.114285714285714,5.942857142857142,12.150000000000002,0.48678571428571427,1.1571428571428573,3.2357142857142853,0.34835714285714287,4.785714285714286,8.914285714285715,0.5350714285714286,0.5339285714285714,1.5,1.8785714285714286,0.7965,1.5357142857142858,5.428571428571429,6.971428571428571,4.357142857142857,0.8071428571428572,1.3571428571428572,1.557142857142857,1.9714285714285715,14.428571428571429,2017-18,4.886549729242731
Kyrie Irving,PG,25,BOS,66.78571428571429,66.78571428571429,34.16428571428572,8.642857142857142,18.585714285714285,0.46549999999999997,2.2142857142857144,5.678571428571429,0.3791428571428571,6.492857142857143,12.87142857142857,0.5031428571428572,0.5236428571428572,3.85,4.335714285714286,0.8962857142857142,0.7285714285714285,2.3785714285714286,3.142857142857143,5.442857142857142,1.1928571428571428,0.29999999999999993,2.442857142857143,2.1214285714285714,23.349999999999998,2017-18,5.028848714162525
Shane Larkin,PG,25,BOS,75.28571428571429,17.214285714285715,22.12857142857143,2.5928571428571425,5.95,0.435,0.4857142857142857,1.3857142857142857,0.3409285714285714,2.107142857142857,4.628571428571428,0.4645714285714285,0.4745714285714286,0.9571428571428572,1.2214285714285715,0.768,0.38571428571428573,1.807142857142857,2.1999999999999997,3.792857142857143,1.15,0.15714285714285717,1.5928571428571427,1.6714285714285713,6.6642857142857155,2017-18,-1.6744582418713914
Marcus Morris,PF,28,BOS,79.42857142857143,76.14285714285714,32.892857142857146,5.157142857142857,12.207142857142857,0.42371428571428577,1.4642857142857142,4.228571428571429,0.3417857142857143,3.721428571428571,7.985714285714286,0.46778571428571425,0.48314285714285715,1.9357142857142857,2.5500000000000003,0.7628571428571428,1.0214285714285716,3.771428571428572,4.757142857142857,2.1142857142857143,0.7357142857142858,0.2928571428571428,1.2857142857142858,2.1142857142857143,13.771428571428572,2017-18,2.5745800166601907
Marcus Smart,SG,23,BOS,73.0,21.0,29.27142857142857,3.228571428571428,9.1,0.35642857142857143,1.157142857142857,4.135714285714286,0.27814285714285714,2.0785714285714287,4.971428571428571,0.42128571428571426,0.42000000000000004,2.357142857142857,2.9642857142857144,0.7901428571428573,1.05,2.864285714285714,3.942857142857143,4.035714285714286,1.5642857142857143,0.36428571428571427,1.75,2.5857142857142854,9.971428571428572,2017-18,-0.8603614453708377
Justin Holiday,SG,28,CHI,72.07142857142857,4.285714285714286,17.816576819407008,2.382614555256065,5.75067385444744,0.4171601235112483,1.0159029649595686,2.808490566037736,0.35428681742967455,1.4309973045822102,2.870754716981132,0.47940646396657766,0.5039423719200957,0.7016172506738545,0.9016172506738543,0.7938078686019863,0.2788409703504043,2.0315363881401614,2.2963611859838275,1.1320754716981132,0.7362533692722373,0.3867924528301887,0.765633423180593,1.2304582210242587,6.539622641509434,2017-18,2.497801481851337
Zach LaVine,SG,22,CHI,59.142857142857146,42.5,33.67857142857143,6.214285714285714,13.678571428571429,0.4543571428571429,2.15,5.514285714285714,0.3842857142857143,4.128571428571428,8.164285714285715,0.5008571428571428,0.5303571428571429,2.314285714285714,2.807142857142857,0.8241428571428572,0.37142857142857144,2.814285714285714,3.1857142857142855,3.0714285714285716,0.8571428571428571,0.19285714285714287,1.8785714285714283,2.25,16.87142857142857,2017-18,1.631551502205833
Robin Lopez,C,29,CHI,79.71428571428571,79.71428571428571,27.72857142857143,4.564285714285715,9.014285714285714,0.5091428571428571,0.0,0.0,0.0,4.564285714285715,8.95,0.5102142857142857,0.5091428571428571,1.157142857142857,1.5642857142857143,0.7457857142857142,3.1,3.607142857142857,6.678571428571429,1.1071428571428572,0.20714285714285716,1.457142857142857,1.25,2.0,10.314285714285715,2017-18,1.5700948173456022
Quincy Pondexter,SF,29,CHI,56.714285714285715,19.928571428571427,22.00142857142857,2.3642857142857143,5.697142857142857,0.41313419913419913,1.0428571428571427,2.9257142857142857,0.3588809523809524,1.292857142857143,2.7714285714285714,0.46945238095238084,0.5052121212121212,1.0757142857142856,1.4142857142857141,0.7519065934065934,0.7000000000000001,1.6171428571428572,2.327142857142857,1.252857142857143,0.2957142857142857,0.2414285714285714,0.76,1.7557142857142856,6.885714285714286,2017-18,-3.5242127996141304
Nicolas Batum,SG,29,CHO,74.57142857142857,74.57142857142857,34.25,5.035714285714286,12.342857142857143,0.40935714285714286,1.8285714285714287,5.3500000000000005,0.33664285714285713,3.2714285714285714,6.992857142857143,0.46614285714285714,0.48249999999999993,2.8000000000000003,3.2500000000000004,0.8540714285714286,0.6785714285714286,5.471428571428571,6.1499999999999995,5.792857142857143,1.042857142857143,0.4714285714285714,2.5714285714285716,1.4642857142857142,14.635714285714286,2017-18,1.252937423103746
Michael Carter-Williams,PG,26,CHO,49.07142857142857,27.285714285714285,23.124025974025976,3.3177489177489177,8.308225108225107,0.392909780985565,0.3194805194805195,1.3485930735930736,0.24636877076411962,3.0268398268398267,6.959632034632035,0.42318998939594066,0.4144511572921852,1.6278138528138528,2.264285714285714,0.7210810704447068,0.6445887445887445,3.374458874458874,4.026190476190476,3.5727272727272728,1.0635281385281385,0.5812770562770563,2.037229437229437,2.516991341991342,8.575649350649352,2017-18,-1.6914198881612583
