PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Elton Brand,C,34,ATL,71.78571428571429,19.071428571428573,20.592857142857138,2.835714285714286,5.471428571428571,0.5169285714285714,0.0,0.0,0.0,2.835714285714286,5.471428571428571,0.5192142857142857,0.5169285714285714,0.8714285714285713,1.342857142857143,0.6724285714285714,1.5214285714285716,3.85,5.378571428571428,1.042857142857143,0.5928571428571429,1.2571428571428573,0.8214285714285714,2.65,6.507142857142857,2013-14,2.0546492160236416
DeMarre Carroll,SF,27,ATL,67.5,51.0,26.475,3.4238095238095236,7.372619047619048,0.4632210242587601,0.9452380952380953,2.752380952380953,0.34299999999999997,2.4785714285714286,4.620238095238095,0.527328903654485,0.5236307277628033,1.3202380952380952,1.6976190476190476,0.7779999999999999,1.4190476190476191,3.139285714285714,4.494047619047619,1.4714285714285715,1.2571428571428573,0.31309523809523804,0.8857142857142858,2.2964285714285717,9.171428571428569,2013-14,4.8957649027240775
Al Horford,C,27,ATL,40.57142857142857,40.57142857142857,34.1,7.871428571428571,14.078571428571431,0.559142857142857,0.0642857142857143,0.2928571428571428,0.37685714285714284,7.778571428571428,13.785714285714286,0.5630714285714286,0.5622857142857143,1.9428571428571428,2.857142857142857,0.6747857142857143,2.392857142857143,6.421428571428572,8.814285714285715,2.7428571428571433,0.9571428571428572,1.3714285714285714,2.092857142857143,1.9857142857142855,17.814285714285713,2013-14,6.131846712326123
Kyle Korver,SG,32,ATL,71.42857142857143,63.285714285714285,32.12142857142857,3.8857142857142857,8.292857142857143,0.4679285714285714,2.542857142857143,5.435714285714285,0.4650714285714285,1.3714285714285714,2.8642857142857143,0.4729285714285715,0.6200714285714286,1.0857142857142856,1.2214285714285715,0.9002142857142857,0.3071428571428571,3.5500000000000003,3.8857142857142857,2.557142857142857,0.9428571428571428,0.35000000000000003,1.2142857142857142,2.1285714285714286,11.407142857142857,2013-14,5.595048751214801
Shelvin Mack,PG,23,ATL,60.357142857142854,7.928571428571429,17.81889400921659,2.510829493087557,5.838940092165899,0.4312167820265516,0.6963133640552995,2.1225806451612903,0.34004172560113155,1.7502304147465437,3.6877880184331793,0.4783762511373976,0.4936538068762056,0.7087557603686635,0.8555299539170507,0.7613207630878439,0.23294930875576034,1.6580645161290322,1.8838709677419356,3.1509216589861753,0.6288018433179723,0.0,1.1391705069124423,1.316589861751152,6.397465437788019,2013-14,-0.526622833445829
Paul Millsap,PF,28,ATL,74.42857142857143,73.64285714285714,32.56428571428571,6.228571428571429,13.228571428571428,0.4717142857142857,0.7071428571428572,2.0428571428571427,0.34142857142857147,5.514285714285714,11.25,0.49142857142857144,0.4980714285714286,3.7071428571428577,5.007142857142857,0.7384999999999999,2.2071428571428573,5.914285714285714,8.121428571428572,2.9,1.5928571428571427,1.05,2.25,2.9071428571428575,16.864285714285714,2013-14,7.1160651275189615
Dexter Pittman,C,25,ATL,6.928571428571429,0.42857142857142855,2.4175324675324674,0.1941558441558442,0.812987012987013,0.13032298136645964,0.0,0.0,0.0,0.1941558441558442,0.812987012987013,0.13032298136645964,0.13032298136645964,0.03571428571428571,0.7727272727272727,0.04592857142857143,1.198051948051948,0.23051948051948054,1.4214285714285713,0.02142857142857143,0.014285714285714287,0.014285714285714287,0.10584415584415582,0.362987012987013,0.42467532467532465,2013-14,-11.501113488826633
Jeff Teague,PG,25,ATL,78.35714285714286,77.78571428571429,32.464285714285715,5.642857142857143,12.700000000000001,0.44442857142857145,0.9500000000000001,2.85,0.3385000000000001,4.635714285714286,9.785714285714286,0.4759285714285714,0.48314285714285715,3.435714285714286,4.085714285714285,0.8496428571428571,0.36428571428571427,2.107142857142857,2.5,6.714285714285714,1.25,0.2857142857142857,2.8357142857142854,2.1,15.678571428571429,2013-14,0.7099393450888325
Lou Williams,PG,27,ATL,54.285714285714285,7.071428571428571,25.571428571428573,3.85,9.4,0.4067857142857143,1.442857142857143,4.192857142857143,0.3505714285714286,2.3785714285714286,5.242857142857143,0.4527857142857143,0.48514285714285715,2.642857142857143,3.142857142857143,0.8517857142857144,0.22142857142857145,1.8785714285714283,2.1214285714285714,3.5285714285714285,0.8857142857142858,0.17142857142857143,1.5857142857142856,1.207142857142857,11.778571428571428,2013-14,0.5110427917043454
Alan Anderson,SF,31,BRK,69.92857142857143,18.142857142857142,23.099999999999998,2.8642857142857143,7.3,0.39421428571428574,1.2357142857142858,3.5714285714285716,0.34114285714285714,1.6571428571428573,3.7285714285714286,0.44735714285714284,0.47821428571428576,1.4357142857142855,1.7642857142857142,0.8072142857142858,0.5,1.7142857142857142,2.2142857142857144,1.207142857142857,0.6071428571428571,0.10714285714285714,0.9642857142857143,1.9428571428571426,8.37142857142857,2013-14,-0.2052730258470574
Andray Blatche,PF,27,BRK,72.21428571428571,7.714285714285714,21.42142857142857,4.285714285714286,8.928571428571429,0.4794285714285714,0.13571428571428573,0.5571428571428572,0.23800000000000002,4.15,8.407142857142857,0.49457142857142855,0.4873571428571429,2.0214285714285714,2.807142857142857,0.7207857142857144,1.7142857142857142,3.5642857142857145,5.278571428571428,1.3285714285714287,0.9857142857142858,0.5714285714285714,1.4928571428571427,2.1999999999999997,10.75,2013-14,1.9471906251706588
Jason Collins,C,35,BRK,27.142857142857142,3.9285714285714284,8.63421052631579,0.43834586466165415,1.0135338345864662,0.4316519114688129,0.0,0.0642857142857143,0.0,0.43834586466165415,0.9492481203007518,0.47408048289738425,0.4316519114688129,0.26052631578947366,0.3943609022556391,0.7414570494864613,0.39887218045112777,0.7018796992481203,1.1364661654135337,0.21165413533834584,0.35,0.0868421052631579,0.34812030075187966,1.613157894736842,1.120300751879699,2013-14,-3.0384300373587223
Kevin Garnett,C,37,BRK,58.42857142857143,58.42857142857143,23.885714285714283,4.1,8.742857142857144,0.46114285714285713,0.0071428571428571435,0.1357142857142857,0.0595,4.1,8.607142857142858,0.46614285714285714,0.4618571428571428,1.3,1.6642857142857141,0.8058571428571428,1.1,5.957142857142857,7.057142857142857,1.8285714285714287,0.8928571428571429,0.7785714285714285,1.4214285714285715,2.307142857142857,9.535714285714286,2013-14,1.5973398503906575
Joe Johnson,SG,32,BRK,75.64285714285714,75.64285714285714,33.978571428571435,6.007142857142857,13.571428571428571,0.4451428571428572,2.1,5.235714285714286,0.3926428571428571,3.971428571428571,8.342857142857143,0.4784285714285715,0.5207142857142858,1.9857142857142858,2.457142857142857,0.8188571428571427,0.65,2.6571428571428575,3.307142857142857,3.0142857142857147,0.6428571428571429,0.1357142857142857,1.5857142857142856,1.5214285714285716,16.15714285714286,2013-14,3.043369659050289
Andrei Kirilenko,PF,32,BRK,51.785714285714285,25.285714285714285,23.52857142857143,2.6999999999999997,5.435714285714285,0.508,0.18571428571428572,0.7142857142857143,0.2382142857142857,2.5142857142857147,4.6499999999999995,0.5328571428571428,0.5211428571428571,1.9642857142857142,3.085714285714286,0.5996428571428571,1.3428571428571427,2.707142857142857,4.05,2.042857142857143,1.0999999999999999,0.6285714285714287,1.4428571428571428,1.4000000000000001,7.5928571428571425,2013-14,-1.0653991185547045
Shaun Livingston,PG,28,BRK,71.85714285714286,41.214285714285715,24.36190476190476,2.868181818181818,5.946103896103897,0.4811527777777777,0.0,0.08614718614718615,0.155,2.868181818181818,5.85995670995671,0.4842297737329882,0.4820099206349206,1.791774891774892,2.133982683982684,0.83083222254419,0.7632034632034631,2.2004329004329004,2.8993506493506493,3.1326839826839827,1.020995670995671,0.41320346320346324,1.3067099567099567,2.1196969696969696,7.528138528138529,2013-14,1.125991711795082
Brook Lopez,C,25,BRK,32.42857142857143,32.42857142857143,30.814285714285713,7.628571428571427,14.007142857142858,0.5460714285714285,0.0,0.0642857142857143,0.0,7.628571428571427,13.942857142857145,0.5482857142857143,0.5460714285714285,4.964285714285714,6.3428571428571425,0.7864285714285714,2.392857142857143,3.692857142857143,6.085714285714286,0.9214285714285714,0.45,1.8142857142857143,1.6285714285714286,2.7071428571428577,20.221428571428568,2013-14,6.487060475007509
