PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Elton Brand,C,34,ATL,71.0,53.0,28.266666666666666,4.7,9.466666666666667,0.49300000000000005,0.0,0.0,0.0,4.7,9.466666666666667,0.4936666666666667,0.49300000000000005,1.6333333333333335,2.1999999999999997,0.741,2.3666666666666667,4.766666666666667,7.166666666666667,1.3666666666666665,0.9333333333333332,1.4000000000000001,1.0333333333333332,2.866666666666667,11.066666666666668,2013-14,-1.4842433311424783
DeMarre Carroll,SF,27,ATL,34.0,7.0,11.844444444444443,1.4944444444444442,3.441666666666667,0.40740059254639016,0.2111111111111111,0.6444444444444445,0.22866666666666666,1.2833333333333334,2.797222222222222,0.4245706963931066,0.4303125422319247,0.6194444444444445,0.7805555555555556,0.88,0.8805555555555555,1.0250000000000001,1.886111111111111,0.6805555555555555,0.48611111111111116,0.18055555555555555,0.3333333333333333,1.252777777777778,3.772222222222222,2013-14,5.165543561776722
Al Horford,C,27,ATL,54.0,54.0,34.63333333333333,6.566666666666666,11.9,0.551,0.0,0.10000000000000002,0.3333333333333333,6.5,11.800000000000002,0.5533333333333333,0.552,1.9000000000000001,2.6333333333333333,0.7250000000000001,2.466666666666667,6.3999999999999995,8.833333333333334,2.966666666666667,0.9333333333333335,1.1333333333333333,1.6666666666666667,2.2,15.033333333333333,2013-14,3.459419674128351
Kyle Korver,SG,32,ATL,73.66666666666667,22.333333333333332,24.400000000000002,3.1333333333333333,7.066666666666666,0.4423333333333333,1.9666666666666668,4.433333333333334,0.43566666666666665,1.2,2.6666666666666665,0.4506666666666666,0.5783333333333333,0.8666666666666667,1.0666666666666667,0.859,0.26666666666666666,2.4333333333333336,2.733333333333333,1.7333333333333334,0.6333333333333333,0.3,0.7999999999999999,1.9666666666666666,9.1,2013-14,5.975453252820838
Paul Millsap,PF,28,ATL,72.66666666666667,72.0,32.5,6.366666666666667,12.566666666666668,0.5053333333333333,0.13333333333333333,0.43333333333333335,0.31666666666666665,6.2,12.133333333333333,0.5126666666666667,0.511,3.3333333333333335,4.333333333333333,0.7636666666666666,2.433333333333333,5.433333333333334,7.833333333333333,2.466666666666667,1.5,0.9,1.8333333333333333,3.3666666666666667,16.166666666666668,2013-14,7.74246972065869
Dexter Pittman,C,25,ATL,16.0,2.0,5.678787878787879,0.7181818181818183,1.7484848484848488,0.38004347826086965,0.0,0.0,0.0,0.7181818181818183,1.7484848484848488,0.38004347826086965,0.38004347826086965,0.16666666666666666,0.35151515151515156,0.21433333333333335,0.6393939393939394,0.9272727272727272,1.5333333333333332,0.09999999999999999,0.06666666666666667,0.06666666666666667,0.5818181818181818,1.281818181818182,1.5787878787878789,2013-14,-6.7442636401699545
Jeff Teague,PG,25,ATL,72.0,50.333333333333336,26.600000000000005,4.066666666666666,8.9,0.455,0.7333333333333334,2.033333333333333,0.3586666666666667,3.3666666666666667,6.900000000000001,0.4816666666666667,0.49233333333333335,1.9000000000000001,2.333333333333333,0.8106666666666668,0.26666666666666666,1.7666666666666668,2.0666666666666664,4.7,1.2333333333333334,0.4666666666666666,1.9333333333333333,1.9000000000000001,10.799999999999999,2013-14,4.880352879361375
Lou Williams,PG,27,ATL,59.333333333333336,3.0,26.099999999999998,4.7,11.399999999999999,0.4116666666666666,1.4333333333333333,4.0,0.359,3.233333333333334,7.366666666666667,0.44166666666666665,0.47500000000000003,3.4333333333333336,4.133333333333334,0.8343333333333334,0.3666666666666667,1.8,2.1666666666666665,3.5,0.8333333333333334,0.26666666666666666,1.4666666666666668,1.5,14.233333333333334,2013-14,2.7364726546276694
Andray Blatche,PF,27,BRK,57.333333333333336,28.0,25.666666666666668,4.833333333333333,10.866666666666665,0.44566666666666666,0.06666666666666667,0.3,0.21466666666666667,4.766666666666667,10.633333333333333,0.45166666666666666,0.4483333333333333,2.1666666666666665,2.966666666666667,0.7116666666666668,2.1666666666666665,4.233333333333333,6.366666666666667,1.4666666666666668,1.0999999999999999,0.7333333333333334,1.8666666666666665,2.3000000000000003,11.866666666666667,2013-14,1.5279187572023705
Jason Collins,C,35,BRK,39.0,15.666666666666666,10.83157894736842,0.49473684210526314,1.1491228070175439,0.41976056338028167,0.0,0.0,0.3333333333333333,0.49473684210526314,1.1491228070175439,0.417093896713615,0.422093896713615,0.4789473684210526,0.7017543859649124,0.6389498910675382,0.5403508771929825,1.2438596491228069,1.750877192982456,0.30526315789473685,0.19999999999999996,0.1929824561403509,0.42280701754385963,1.7736842105263158,1.4736842105263157,2013-14,-4.35183401054748
