PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Devin Harris,SG,29,ATL,65.96983197411436,64.9052077320198,30.721867542163352,4.583373833422973,10.8158943704796,0.4271695665263692,0.9964975219381143,3.093987552950502,0.3289215417329849,3.5627582159951117,7.721906817529097,0.468445391651567,0.47720756635939454,3.8147031526728443,4.761617146782852,0.7882163358444276,0.26456966539030097,2.0777324979074354,2.3423021632977363,6.093032890562591,1.057844117103499,0.19000995774953702,2.45814423680984,2.372091162391896,13.977948341456907,2012-13,3.0218731842429483
Al Horford,C,26,ATL,50.39403775136274,50.39403775136274,33.63791816304855,5.8563306390416505,10.552110631632711,0.5538819635998136,0.0,0.07588190451025208,0.41172164359853364,5.8222225013014395,10.452110631632712,0.5563883896060159,0.5544642259321131,2.1106004351982763,2.742384159717855,0.7686764230053958,2.5205904774487395,5.9974295975190115,8.48391193722754,2.6675238861124893,0.8176556712802933,1.1494393957998716,1.5,2.321711685848997,13.82326171328158,2012-13,4.967685319416495
Kyle Korver,SF,31,ATL,67.66303100216862,2.924163673902883,20.710218450435566,2.802324413220633,6.253477829293322,0.44739420100355043,1.5288489183511318,3.454763030533817,0.45253764889660325,1.2493573993797527,2.8404885655295464,0.44529741718566285,0.5692914765083724,0.8341081377402109,1.009990042250463,0.8418125362937029,0.2494393957998715,1.8735574912896193,2.1229968870894904,1.6317837245195783,0.5076656290298304,0.2,0.7658918622597891,1.7199800845009259,7.951153416072689,2012-13,5.630022884915693
Zaza Pachulia,C,28,ATL,69.98632802339385,21.009207975530362,20.553486989699472,2.0507245970403654,4.183793522800437,0.48338591715484763,0.0,0.024118095489747925,0.0,2.0507245970403654,4.15967542731069,0.4853153647940275,0.48338591715484763,1.7047308228613838,2.3465045896314254,0.7234865910105568,2.0012852012404942,3.6478717872920376,5.649156988532532,0.9441801764107924,0.6329869293399538,0.4076656290298303,1.06063264287071,2.6165344628800358,5.796189974691652,2012-13,-0.0541790490806013
Johan Petro,C,27,ATL,59.59230283059593,8.377353332765896,13.391541148250386,1.693537575790545,3.8094616457227684,0.4558451065805624,0.0,0.03410813774021089,0.4177376677004118,1.693537575790545,3.7753535079825573,0.45826202428406165,0.4566805819159632,0.3735574912896194,0.5317837245195782,0.6937514807370941,0.9912131625699127,2.3853611313082714,3.4106824316183952,0.6353113425605865,0.37588190451025205,0.4,0.6,2.1923343709701695,3.76829827190054,2012-13,-2.863570264992285
Josh Smith,PF,27,ATL,73.3696094748854,73.3696094748854,35.017144855827844,6.88715714800121,14.547343390764341,0.47581605105082153,0.40585203126164093,1.4164348853846658,0.22025651651910388,6.481305116739568,13.130908505379674,0.4945979384173779,0.4893559374982792,3.0900099577495372,4.699489184547557,0.6595085593944305,2.1323941174673915,6.899471603472304,9.007747625449948,3.7677054600279782,1.414128053239285,1.7623642442187808,2.509990042250463,2.764688657439413,17.267851871792963,2012-13,5.074164526760319
DeShawn Stevenson,SG,31,ATL,61.29806133911152,35.29178159888086,16.670160744590692,1.2005108154524435,3.6073086031558916,0.31727838764984945,0.8499502112523148,2.695074103452568,0.29976981986757273,0.365634413881221,0.8704607329332823,0.3608381632135417,0.4295406352522723,0.3565901280725655,0.45659012807256544,0.6920374487759468,0.19233437097016967,1.468731172237558,1.6877655002966763,0.9204129848379436,0.3327294809613857,0.09095571419134453,0.4893196090339511,1.1287689625833597,3.5316800657195144,2012-13,-0.6130648677369055
Jeff Teague,PG,24,ATL,68.57023028409583,30.68179857473438,20.969967453497276,2.9667306633927066,6.499353189045202,0.4437444312669214,0.4606326428707101,1.320144077341163,0.3235904280018796,2.5478717872920376,5.21331724944425,0.47060578643788475,0.4733687178625579,1.397147190251672,1.816006066352341,0.7889144873556763,0.21765567128029326,1.5377177522013377,1.7312553279918832,3.139084949861951,0.993619572210664,0.4353113425605865,1.3112752434909571,1.6177376677004118,7.808896831188089,2012-13,5.603614484629714
Anthony Tolliver,SF,27,ATL,54.56923450914213,8.358573201635334,21.861985727093746,2.35026900132939,5.49937650901,0.42021185329358496,0.7013901070977255,2.239027288802019,0.3206122356844687,1.614770756491453,3.2603492202079813,0.5163323482200829,0.48793387992990794,1.410518438778158,1.8337586685456981,0.7696672258680323,1.3335717662683484,3.1207532496297445,4.477394498540461,1.0718905105502579,0.46501399653758135,0.48808347917994904,0.7959762957356511,2.134791126240901,6.83551603117703,2012-13,-2.0284209524352868
Lou Williams,SG,26,ATL,67.7518951514232,9.16487628610421,26.145007305424596,4.761243035818523,11.268380268320659,0.4218533187811391,1.2176556712802933,3.4353113425605866,0.3519188797086259,3.5435873645382308,7.833068925760071,0.45267018979616186,0.4753942010035504,3.5993896070521862,4.392927182842731,0.8186460666101929,0.4417737667700412,1.9841579264878964,2.384157926487896,3.634718530688024,0.8523742019683178,0.24177376677004114,1.3470329861591201,1.574678699689876,14.273639487709737,2012-13,4.868198672799764
