PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SG,25,ATL,67.66666666666667,8.333333333333334,11.905970149253733,1.5910447761194029,3.8059701492537314,0.40720452998930684,0.47064676616915424,1.4432835820895524,0.32503067800979635,1.0870646766169154,2.3960199004975125,0.4529001248439451,0.46546592787012736,0.7164179104477612,1.207960199004975,0.5995196078431372,0.1781094527363184,1.5298507462686566,1.707960199004975,0.9308457711442787,0.5477611940298507,0.2228855721393035,0.8164179104477611,1.2164179104477613,4.402487562189054,2014-15,-1.5536841868745193
Elton Brand,C,35,ATL,60.333333333333336,12.333333333333334,18.03333333333333,2.2666666666666666,4.566666666666666,0.48466666666666663,0.0,0.0,0.0,2.2666666666666666,4.566666666666666,0.4876666666666667,0.48466666666666663,0.6666666666666666,1.0666666666666667,0.627,1.3,3.266666666666667,4.566666666666666,0.8666666666666667,0.5666666666666667,1.0666666666666667,0.7000000000000001,2.266666666666667,5.2,2014-15,-3.268228552620501
DeMarre Carroll,SF,28,ATL,69.66666666666667,51.333333333333336,26.733333333333334,3.633333333333333,7.666666666666667,0.47233333333333327,1.0999999999999999,3.0333333333333337,0.3476666666666666,2.533333333333333,4.633333333333333,0.541,0.5386666666666666,1.4666666666666668,2.0,0.7466666666666667,1.3999999999999997,3.1666666666666665,4.533333333333334,1.4666666666666668,1.2333333333333334,0.3,0.9,2.2,9.9,2014-15,5.176519758152872
Al Horford,C,28,ATL,59.666666666666664,59.666666666666664,33.56666666666667,7.6000000000000005,13.833333333333334,0.5493333333333333,0.06666666666666667,0.3333333333333333,0.38999999999999996,7.5,13.5,0.5543333333333335,0.5533333333333333,1.7333333333333332,2.533333333333333,0.695,2.2,6.366666666666667,8.6,3.0,0.9666666666666667,1.3,1.8333333333333333,1.8999999999999997,17.066666666666666,2014-15,4.519908649385938
John Jenkins,SG,23,ATL,32.666666666666664,1.6666666666666667,13.133333333333333,1.7666666666666666,4.033333333333333,0.4406666666666667,0.7000000000000001,1.9666666666666668,0.33666666666666667,1.1333333333333335,2.1333333333333333,0.532,0.522,0.6666666666666666,0.7333333333333334,0.895,0.19999999999999998,1.4333333333333333,1.6000000000000003,0.7333333333333334,0.23333333333333336,0.10000000000000002,0.6,0.6666666666666666,4.933333333333333,2014-15,0.2302084019133214
Kyle Korver,SG,33,ATL,73.33333333333333,68.66666666666667,32.2,3.9,8.233333333333333,0.47433333333333333,2.6999999999999997,5.7,0.4736666666666667,1.2,2.533333333333333,0.47333333333333333,0.6383333333333333,1.1666666666666667,1.3333333333333333,0.8943333333333334,0.26666666666666666,3.733333333333334,4.033333333333333,2.5,0.8666666666666666,0.4666666666666666,1.2333333333333332,2.1,11.666666666666666,2014-15,6.103384031263203
Shelvin Mack,PG,24,ATL,53.0,4.666666666666667,16.30537634408602,2.3043010752688176,5.420430107526882,0.42966957903097697,0.6956989247311828,2.143010752688172,0.3374653465346535,1.575268817204301,3.2774193548387096,0.48485562632696394,0.49709610802223986,0.5602150537634408,0.7064516129032258,0.7371242236024845,0.16344086021505377,1.467741935483871,1.6311827956989247,2.901075268817204,0.575268817204301,0.0,1.0623655913978494,1.086021505376344,5.838709677419355,2014-15,-0.5245626266985544
Paul Millsap,PF,29,ATL,75.0,74.66666666666667,32.199999999999996,6.033333333333334,12.666666666666666,0.4756666666666667,0.7666666666666666,2.1333333333333333,0.34900000000000003,5.266666666666667,10.6,0.49933333333333335,0.5046666666666667,3.6,4.833333333333333,0.7433333333333333,2.1,5.7,7.8,2.9333333333333336,1.5999999999999999,1.0,2.1999999999999997,2.8666666666666667,16.400000000000002,2014-15,6.641531956394276
Mike Scott,PF,26,ATL,62.666666666666664,2.3333333333333335,14.799999999999999,2.8666666666666667,6.1000000000000005,0.4663333333333333,0.6,1.7666666666666666,0.21799999999999997,2.2666666666666666,4.300000000000001,0.5179999999999999,0.5073333333333333,1.1,1.3999999999999997,0.7799999999999999,0.8333333333333334,2.3,3.1,0.7666666666666666,0.3,0.06666666666666667,0.7000000000000001,1.1666666666666667,7.333333333333333,2014-15,0.511980501100926
Thabo Sefolosha,SF,30,ATL,64.66666666666667,49.666666666666664,24.099999999999998,2.3666666666666667,5.3999999999999995,0.43799999999999994,0.8666666666666667,2.4,0.35200000000000004,1.4666666666666668,3.0,0.505,0.5166666666666666,0.8333333333333334,1.0333333333333334,0.79,0.8333333333333334,3.1,3.9333333333333336,1.4666666666666668,1.2,0.4000000000000001,0.8000000000000002,1.6666666666666667,6.3999999999999995,2014-15,0.9950683633883476
Jeff Teague,PG,26,ATL,77.33333333333333,76.33333333333333,31.866666666666664,5.633333333333333,12.533333333333331,0.44966666666666666,1.0,2.9,0.3436666666666666,4.6,9.566666666666666,0.48233333333333334,0.49,3.4333333333333336,4.0,0.863,0.3666666666666667,2.0666666666666664,2.466666666666667,6.966666666666666,1.4333333333333333,0.3333333333333333,2.8666666666666667,2.0666666666666664,15.666666666666666,2014-15,5.892234304587836
Alan Anderson,SG,32,BRK,72.33333333333333,15.666666666666666,23.100000000000005,2.9,7.2,0.4086666666666667,1.2,3.466666666666667,0.34,1.7333333333333334,3.733333333333333,0.47333333333333333,0.49100000000000005,1.3999999999999997,1.7333333333333332,0.8163333333333332,0.4666666666666666,1.9333333333333333,2.433333333333333,1.2333333333333334,0.6999999999999998,0.10000000000000002,0.9333333333333332,1.9666666666666668,8.433333333333332,2014-15,1.1615260622974886
Earl Clark,PF,27,BRK,41.0,17.666666666666668,15.538888888888891,1.9333333333333336,4.766666666666667,0.39399999999999996,0.5888888888888889,1.8277777777777782,0.3195888077858881,1.3444444444444443,3.005555555555555,0.4373014861995754,0.45795370370370375,0.46666666666666673,0.7666666666666667,0.5378888888888889,0.6222222222222222,2.8555555555555556,3.477777777777778,0.5888888888888889,0.4166666666666667,0.5166666666666666,0.7666666666666667,1.3944444444444446,4.922222222222223,2014-15,-5.779509826112312
Jarrett Jack,PG,31,BRK,79.66666666666667,20.666666666666668,28.633333333333336,4.333333333333333,9.9,0.43366666666666664,0.7666666666666666,2.2333333333333334,0.3373333333333333,3.5666666666666664,7.7,0.45933333333333337,0.4723333333333333,2.066666666666667,2.4,0.8543333333333333,0.26666666666666666,2.6999999999999997,3.0,4.8,0.7999999999999999,0.20000000000000004,2.033333333333333,1.7333333333333334,11.466666666666667,2014-15,1.9087586039048023
Joe Johnson,SG,33,BRK,77.0,77.0,34.73333333333334,5.866666666666667,13.433333333333332,0.43733333333333335,1.9000000000000001,4.933333333333334,0.37833333333333335,4.0,8.5,0.47100000000000003,0.5066666666666667,1.8666666666666665,2.3000000000000003,0.8119999999999999,0.6666666666666666,3.0666666666666664,3.733333333333333,3.3000000000000003,0.6666666666666666,0.16666666666666666,1.6333333333333335,1.5,15.5,2014-15,3.960860648054763
Andrei Kirilenko,SF,33,BRK,38.666666666666664,22.666666666666668,18.633333333333333,2.066666666666667,4.366666666666666,0.34,0.16666666666666666,0.6666666666666666,0.164,1.9000000000000001,3.6666666666666665,0.363,0.35133333333333333,1.5666666666666667,2.3666666666666667,0.6716666666666667,1.0333333333333332,2.3333333333333335,3.3333333333333335,1.5,0.8333333333333334,0.4666666666666666,1.0666666666666667,0.9333333333333335,5.933333333333333,2014-15,-8.29077361090963
Brook Lopez,C,26,BRK,54.333333333333336,45.0,30.333333333333332,7.433333333333334,14.0,0.5323333333333333,0.0,0.06666666666666667,0.03333333333333333,7.433333333333334,13.933333333333335,0.535,0.5323333333333333,4.2,5.3,0.7963333333333332,2.6999999999999997,4.1000000000000005,6.766666666666667,0.8333333333333334,0.5,1.9000000000000001,1.6000000000000003,2.6999999999999997,19.099999999999998,2014-15,2.581487931750424
Darius Morris,PG,24,BRK,37.666666666666664,5.666666666666667,11.233333333333333,1.2790123456790123,3.4209876543209874,0.37710880110880113,0.37654320987654316,1.2358024691358025,0.29375438596491227,0.9358024691358026,2.185185185185185,0.4221179839633448,0.42953915453915453,0.417283950617284,0.6617283950617284,0.5848847117794486,0.32716049382716045,0.6296296296296297,0.95679012345679,1.5123456790123457,0.36543209876543203,0.0,0.8358024691358025,0.9814814814814815,3.385185185185185,2014-15,-5.763480882703458
Mirza Teletović,PF,29,BRK,55.0,3.6666666666666665,17.03333333333333,2.5,6.266666666666667,0.3946666666666667,1.3999999999999997,3.8666666666666667,0.35133333333333333,1.0999999999999999,2.4,0.4633333333333333,0.5033333333333333,0.5333333333333333,0.7666666666666666,0.7483333333333334,0.6999999999999998,2.766666666666667,3.466666666666667,0.8000000000000002,0.3333333333333333,0.3,0.8333333333333334,1.6333333333333335,6.866666666666667,2014-15,0.5079797256630499
Deron Williams,PG,30,BRK,70.0,63.666666666666664,33.23333333333333,5.233333333333333,12.300000000000002,0.4256666666666667,1.6666666666666667,4.466666666666667,0.37033333333333335,3.6,7.866666666666667,0.459,0.49233333333333335,3.266666666666667,3.8666666666666667,0.8313333333333334,0.3333333333333333,2.6999999999999997,3.033333333333333,6.8,1.1333333333333333,0.30000000000000004,2.433333333333333,2.3666666666666667,15.4,2014-15,3.918092320556711
