PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Devin Harris,SG,29,ATL,66.0,64.66666666666667,31.344131455399065,4.74131455399061,11.273239436619718,0.42347409965466204,0.971830985915493,3.10093896713615,0.3212766835490527,3.7361502347417836,8.172300469483568,0.46384467961880693,0.47037592501233344,4.009389671361502,4.992018779342723,0.7923341604631927,0.28262910798122065,2.184037558685446,2.4666666666666663,6.224413145539906,1.0760563380281691,0.20000000000000004,2.533333333333333,2.426760563380282,14.463849765258217,2012-13,2.065089176447289
Al Horford,C,26,ATL,56.333333333333336,56.333333333333336,33.93333333333334,5.8999999999999995,10.633333333333333,0.5536666666666666,0.0,0.06666666666666667,0.5,5.866666666666666,10.533333333333333,0.5556666666666668,0.5543333333333335,2.1666666666666665,2.7999999999999994,0.7733333333333334,2.5666666666666664,6.2,8.733333333333334,2.6666666666666665,0.7999999999999999,1.1333333333333335,1.5,2.4,13.966666666666667,2012-13,6.5750899828536085
Kyle Korver,SF,31,ATL,66.33333333333333,2.3333333333333335,20.333333333333336,2.8000000000000003,6.166666666666667,0.453,1.4666666666666668,3.266666666666667,0.462,1.3,2.9333333333333336,0.4486666666666667,0.5716666666666667,0.8333333333333334,1.0,0.8380000000000001,0.23333333333333336,1.8666666666666665,2.1,1.6333333333333335,0.5,0.20000000000000004,0.7666666666666666,1.7,7.866666666666667,2012-13,6.130438417906077
Zaza Pachulia,C,28,ATL,71.66666666666667,17.333333333333332,19.333333333333332,1.9333333333333333,3.9666666666666663,0.48266666666666663,0.0,0.03333333333333333,0.0,1.9333333333333333,3.9333333333333336,0.48533333333333334,0.48266666666666663,1.6333333333333335,2.2666666666666666,0.715,1.9000000000000001,3.4,5.3,0.8666666666666666,0.6,0.39999999999999997,1.0,2.5666666666666664,5.5,2012-13,-0.011955873173972
Johan Petro,C,27,ATL,57.333333333333336,9.0,13.1,1.6666666666666667,3.6666666666666665,0.4663333333333333,0.0,0.03333333333333333,0.3333333333333333,1.6666666666666667,3.6333333333333333,0.4693333333333334,0.467,0.3666666666666667,0.5333333333333333,0.6803333333333333,0.9666666666666668,2.4,3.4,0.6,0.3666666666666667,0.4000000000000001,0.6,2.1999999999999997,3.7000000000000006,2012-13,-1.7333531332825527
Josh Smith,PF,27,ATL,74.66666666666667,74.66666666666667,35.03333333333333,6.766666666666666,14.166666666666666,0.48,0.3666666666666667,1.2666666666666666,0.19600000000000004,6.3999999999999995,12.9,0.49700000000000005,0.49233333333333335,3.1,4.733333333333333,0.6576666666666666,2.1999999999999997,6.766666666666667,8.933333333333332,3.8000000000000003,1.4333333333333336,1.8,2.5,2.8000000000000003,17.0,2012-13,6.628562330045429
DeShawn Stevenson,SG,31,ATL,62.333333333333336,34.0,16.229166666666668,1.1666666666666667,3.5208333333333335,0.31539024390243897,0.8000000000000002,2.558333333333333,0.293060606060606,0.3875,0.9291666666666667,0.3684912280701755,0.42190243902439023,0.375,0.47500000000000003,0.7131746031746031,0.19999999999999998,1.4249999999999998,1.6375,0.9250000000000002,0.32083333333333336,0.08750000000000001,0.4958333333333333,1.1291666666666667,3.4416666666666664,2012-13,-1.8326326625898053
Jeff Teague,PG,24,ATL,69.0,25.333333333333332,19.0,2.6666666666666665,5.8999999999999995,0.4366666666666667,0.4000000000000001,1.1666666666666667,0.312,2.3,4.766666666666667,0.463,0.4643333333333333,1.2666666666666668,1.633333333333333,0.7959999999999999,0.20000000000000004,1.4333333333333336,1.5999999999999999,2.866666666666667,0.9,0.4000000000000001,1.2,1.5333333333333332,7.0,2012-13,5.300132916998361
Anthony Tolliver,SF,27,ATL,54.0,11.0,23.094202898550723,2.6028985507246376,6.059420289855073,0.4234711723729065,0.7507246376811594,2.3579710144927537,0.32612704736609116,1.8188405797101452,3.7014492753623185,0.5094313725490195,0.4897384022528532,1.5333333333333334,1.989855072463768,0.7712222222222223,1.4057971014492754,3.3971014492753624,4.834782608695652,1.2043478260869567,0.4898550724637681,0.5217391304347826,0.8188405797101449,2.2318840579710146,7.521739130434784,2012-13,-2.046128503620445
Lou Williams,SG,26,ATL,67.66666666666667,12.666666666666666,26.5,4.766666666666667,11.133333333333333,0.42766666666666664,1.2,3.4,0.3499999999999999,3.5666666666666664,7.733333333333334,0.462,0.48100000000000004,3.5333333333333337,4.3,0.8196666666666665,0.43333333333333335,2.033333333333333,2.4333333333333336,3.6999999999999997,0.9,0.2333333333333333,1.3999999999999997,1.5999999999999999,14.200000000000001,2012-13,4.004110166234732
Andray Blatche,C,26,BRK,57.0,37.333333333333336,28.633333333333336,5.400000000000001,12.233333333333334,0.4343333333333333,0.13333333333333333,0.3666666666666667,0.26766666666666666,5.266666666666667,11.9,0.43933333333333335,0.4386666666666666,2.2666666666666666,3.066666666666667,0.7313333333333333,2.1666666666666665,4.633333333333333,6.766666666666667,1.8333333333333333,1.0999999999999999,0.8000000000000002,2.1,2.533333333333333,13.133333333333333,2012-13,1.4868743332975871
Keith Bogans,SG,32,BRK,55.333333333333336,44.333333333333336,18.766666666666666,1.5333333333333332,3.9,0.3960000000000001,0.8666666666666667,2.6,0.329,0.6666666666666666,1.3333333333333333,0.5106666666666667,0.5073333333333333,0.4000000000000001,0.6666666666666666,0.5986666666666666,0.5,1.5666666666666667,2.066666666666667,1.0,0.5,0.10000000000000002,0.6,2.1333333333333333,4.333333333333333,2012-13,-2.5343545737890545
Reggie Evans,PF,32,BRK,38.0,6.333333333333333,17.166666666666668,1.0666666666666667,2.4,0.45766666666666667,0.0,0.0,0.0,1.0666666666666667,2.4,0.459,0.45766666666666667,1.0666666666666667,2.1,0.5006666666666667,2.3,4.433333333333333,6.7,0.6333333333333334,0.7000000000000001,0.13333333333333333,0.9666666666666668,2.233333333333333,3.233333333333334,2012-13,0.0997435362296623
Kris Humphries,PF,27,BRK,68.33333333333333,35.333333333333336,26.833816425120773,3.9700483091787437,8.21304347826087,0.4824942248251179,0.0,0.0,0.0,3.9700483091787437,8.191787439613528,0.4840841966781779,0.4824942248251179,2.3096618357487917,3.2855072463768114,0.6935040308447249,2.851690821256039,6.122222222222223,8.952657004830918,1.0304347826086957,0.5850241545893721,0.985024154589372,1.4154589371980677,2.3942028985507244,10.283091787439615,2012-13,-0.9886912732540956
Joe Johnson,SG,31,BRK,69.33333333333333,69.33333333333333,36.333333333333336,7.533333333333334,16.599999999999998,0.45166666666666666,1.6666666666666667,4.733333333333333,0.3513333333333333,5.866666666666667,11.933333333333332,0.49033333333333334,0.5023333333333334,2.733333333333333,3.3333333333333335,0.8230000000000001,0.9,3.233333333333333,4.1000000000000005,4.500000000000001,0.8666666666666667,0.13333333333333333,1.9333333333333333,1.6666666666666667,19.433333333333334,2012-13,4.047881516730655
Brook Lopez,C,24,BRK,56.333333333333336,56.333333333333336,33.1,7.466666666666666,15.066666666666668,0.49499999999999994,0.0,0.0,0.0,7.466666666666666,15.033333333333333,0.49533333333333335,0.49499999999999994,4.6000000000000005,6.2,0.743,2.433333333333333,3.6333333333333333,6.066666666666666,1.7,0.49999999999999994,1.3333333333333333,1.9333333333333333,2.533333333333333,19.46666666666667,2012-13,5.578534220740569
Jerry Stackhouse,SF,38,BRK,26.333333333333332,0.3333333333333333,12.200000000000001,1.5666666666666667,4.166666666666667,0.3426666666666667,0.5333333333333333,1.6666666666666667,0.31266666666666665,1.0333333333333332,2.533333333333333,0.363,0.40199999999999997,0.9,1.1333333333333335,0.8080000000000002,0.26666666666666666,1.1333333333333333,1.4000000000000001,0.8666666666666667,0.26666666666666666,0.19999999999999998,0.7666666666666667,0.7000000000000001,4.6,2012-13,-2.3081090896866483
