PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SF,26,ATL,74.42857142857143,47.642857142857146,23.90127931769723,3.4623667377398717,7.8584221748400855,0.43554382785485146,1.1794243070362473,3.2878464818763327,0.3561494310020992,2.254371002132196,4.599147121535181,0.4911214553237025,0.5092426988293131,1.324946695095949,1.773134328358209,0.737111344537815,0.3524520255863539,3.906396588486141,4.258848614072495,1.8637526652452026,1.0816631130063967,0.44776119402985076,1.5249466950959487,2.074946695095949,9.371961620469083,2015-16,4.018320705250235
Tim Hardaway,SG,23,ATL,58.57142857142857,9.285714285714286,19.37142857142857,2.8142857142857145,6.864285714285714,0.41814285714285715,1.1785714285714286,3.5714285714285716,0.34092857142857147,1.6357142857142857,3.3214285714285716,0.5050714285714285,0.5077142857142858,1.25,1.45,0.8620714285714286,0.1357142857142857,1.6571428571428573,1.8285714285714287,1.2142857142857142,0.37857142857142856,0.1285714285714286,0.7071428571428571,1.1928571428571428,8.12857142857143,2015-16,-1.8066814405725555
Al Horford,C,29,ATL,76.5,76.5,31.70714285714286,6.707142857142857,12.892857142857142,0.5188571428571429,0.7428571428571429,2.164285714285714,0.3345714285714285,5.964285714285714,10.728571428571428,0.5552142857142858,0.5478571428571428,1.3785714285714286,1.7785714285714285,0.7785714285714286,1.807142857142857,5.514285714285714,7.3500000000000005,3.1571428571428575,0.8357142857142856,1.4428571428571428,1.3642857142857143,1.8785714285714286,15.442857142857141,2015-16,7.800487173154591
Kyle Korver,SG,34,ATL,77.92857142857143,77.92857142857143,30.907142857142862,3.5928571428571425,7.8500000000000005,0.45271428571428574,2.3000000000000003,5.321428571428571,0.43014285714285716,1.2642857142857142,2.5285714285714285,0.4912142857142857,0.5983571428571428,0.8714285714285713,1.0,0.8582142857142857,0.20714285714285716,3.3714285714285714,3.5785714285714283,2.3000000000000003,0.7857142857142857,0.45,1.2714285714285711,1.9785714285714284,10.228571428571428,2015-16,2.2333002323686726
Paul Millsap,PF,30,ATL,78.21428571428571,78.14285714285714,32.75714285714286,6.192857142857143,13.12142857142857,0.4710714285714285,0.9642857142857143,2.9285714285714284,0.3323571428571429,5.228571428571428,10.228571428571428,0.5105000000000001,0.5082142857142857,3.721428571428571,4.9071428571428575,0.7551428571428571,2.2357142857142853,6.385714285714286,8.621428571428572,3.2285714285714286,1.792857142857143,1.4285714285714286,2.3785714285714286,2.864285714285714,17.04285714285714,2015-16,10.699754067576144
Mike Muscala,C,24,ATL,51.42857142857143,2.2857142857142856,10.414285714285715,1.5500000000000003,2.957142857142857,0.5089285714285714,0.18571428571428572,0.6357142857142858,0.31485714285714284,1.3642857142857143,2.3857142857142857,0.5595,0.5422857142857143,0.5428571428571428,0.6714285714285714,0.8339285714285715,0.8214285714285714,1.45,2.3285714285714287,0.5857142857142856,0.2571428571428572,0.5,0.5071428571428571,1.25,3.792857142857143,2015-16,-3.3050632969326923
Dennis Schröder,PG,22,ATL,76.92857142857143,6.714285714285714,19.614285714285717,3.8000000000000003,9.028571428571428,0.42,0.8571428571428571,2.5357142857142856,0.3242857142857143,3.007142857142857,6.5,0.45757142857142863,0.4652142857142857,1.7428571428571427,2.1999999999999997,0.7929285714285715,0.31428571428571433,2.007142857142857,2.357142857142857,4.135714285714285,0.7714285714285714,0.09285714285714286,2.107142857142857,1.6285714285714283,10.192857142857141,2015-16,0.8436536885263308
Mike Scott,PF,27,ATL,73.35714285714286,0.42857142857142855,15.871428571428572,2.607142857142857,5.692857142857143,0.46192857142857147,0.8571428571428571,2.3285714285714287,0.37242857142857144,1.75,3.335714285714286,0.5237857142857143,0.5397142857142858,0.7999999999999999,0.9500000000000001,0.7924285714285715,0.7071428571428571,2.142857142857143,2.8214285714285716,1.0214285714285716,0.3357142857142857,0.13571428571428573,0.6285714285714284,1.3499999999999999,6.8999999999999995,2015-16,-1.872718199999896
Thabo Sefolosha,SF,31,ATL,67.42857142857143,13.428571428571429,22.271428571428572,2.3428571428571425,4.985714285714286,0.4737142857142857,0.5857142857142856,1.6999999999999997,0.3322142857142857,1.757142857142857,3.2857142857142856,0.546,0.5296428571428572,0.8357142857142856,1.2285714285714289,0.679,0.7928571428571428,3.5857142857142854,4.378571428571428,1.407142857142857,1.0857142857142856,0.4571428571428572,0.8428571428571427,1.4428571428571428,6.078571428571428,2015-16,0.8603405685670427
Tiago Splitter,C,31,ATL,42.214285714285715,14.857142857142858,17.542857142857144,2.642857142857143,4.8428571428571425,0.533,0.0,0.07142857142857142,0.0,2.642857142857143,4.8357142857142845,0.5372142857142858,0.533,1.342857142857143,1.7,0.7868571428571427,1.5,2.528571428571429,3.9357142857142855,1.05,0.6214285714285713,0.42857142857142855,0.8857142857142856,2.0,6.528571428571429,2015-16,-1.747960705258901
Jeff Teague,PG,27,ATL,77.28571428571429,76.35714285714286,29.335714285714285,5.55,12.464285714285714,0.44492857142857145,1.25,3.25,0.37864285714285717,4.292857142857143,9.178571428571429,0.4670714285714285,0.49492857142857144,3.492857142857143,4.107142857142857,0.8447857142857141,0.39999999999999997,2.2357142857142858,2.6357142857142857,6.271428571428572,1.3357142857142856,0.32142857142857145,2.807142857142857,2.0357142857142856,15.814285714285713,2015-16,4.644518332647321
