PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Elton Brand,C,35,ATL,68.33333333333333,31.0,23.166666666666668,3.466666666666667,6.933333333333333,0.502,0.0,0.0,0.0,3.466666666666667,6.933333333333333,0.5036666666666667,0.502,1.0333333333333332,1.5,0.6973333333333334,1.8333333333333333,4.166666666666667,6.033333333333334,1.2,0.7333333333333334,1.366666666666667,0.9,2.733333333333333,7.966666666666666,2014-15,-2.3624276417702434
DeMarre Carroll,SF,28,ATL,54.333333333333336,31.333333333333332,21.150000000000002,2.744444444444444,6.038888888888889,0.44836477987421386,0.6444444444444445,1.877777777777778,0.34933333333333333,2.1,4.1611111111111105,0.4915348837209302,0.4966100628930817,1.0611111111111111,1.3555555555555554,0.8043333333333335,1.3222222222222222,2.2166666666666663,3.505555555555555,1.1666666666666667,0.9666666666666667,0.2611111111111111,0.7000000000000001,1.9833333333333334,7.2,2014-15,3.481493742487141
Al Horford,C,28,ATL,38.0,38.0,33.93333333333334,7.066666666666666,12.733333333333334,0.5543333333333333,0.03333333333333333,0.20000000000000004,0.288,7.0,12.533333333333333,0.5583333333333335,0.5563333333333333,1.9333333333333333,2.8000000000000003,0.6863333333333334,2.433333333333333,6.099999999999999,8.533333333333333,2.6666666666666665,0.9666666666666667,1.3,1.9000000000000001,2.0,16.133333333333333,2014-15,4.002247178042772
Kyle Korver,SG,33,ATL,70.0,46.0,29.0,3.5,7.666666666666667,0.45599999999999996,2.3333333333333335,5.1000000000000005,0.4546666666666666,1.2,2.6,0.4586666666666666,0.6063333333333333,0.9666666666666668,1.1333333333333335,0.8726666666666666,0.3333333333333333,3.1,3.466666666666667,2.1999999999999997,0.8333333333333334,0.3333333333333333,1.0333333333333334,2.033333333333333,10.333333333333334,2014-15,5.802281188060286
Shelvin Mack,PG,24,ATL,56.0,4.666666666666667,15.338709677419354,2.0709677419354837,4.787096774193548,0.42933624569764367,0.5290322580645161,1.6096774193548387,0.3277986798679868,1.5086021505376344,3.210752688172043,0.4715222929936305,0.4830961080222398,0.6268817204301075,0.8064516129032259,0.7057908902691512,0.1967741935483871,1.4677419354838708,1.6311827956989247,2.6344086021505375,0.5419354838709677,0.0,1.0290322580645161,1.1526881720430107,5.238709677419355,2014-15,-0.2045620014903231
Paul Millsap,PF,29,ATL,72.0,71.0,32.23333333333333,6.233333333333333,12.933333333333332,0.482,0.43333333333333335,1.3,0.3056666666666667,5.766666666666667,11.666666666666666,0.49666666666666676,0.49833333333333335,3.5,4.633333333333333,0.755,2.4,5.733333333333334,8.133333333333333,2.6666666666666665,1.5999999999999999,0.9666666666666668,2.033333333333333,3.1,16.366666666666667,2014-15,5.590769573262056
Thabo Sefolosha,SF,30,ATL,61.333333333333336,61.333333333333336,25.099999999999998,2.2333333333333334,5.033333333333333,0.4426666666666667,0.9333333333333332,2.466666666666667,0.39066666666666666,1.2666666666666666,2.5666666666666664,0.49400000000000005,0.5379999999999999,0.8333333333333334,1.0,0.826,0.6666666666666666,2.8333333333333335,3.5,1.3666666666666665,1.1666666666666667,0.39999999999999997,0.9,1.8666666666666665,6.233333333333333,2014-15,0.8442071951768726
Jeff Teague,PG,26,ATL,75.0,74.33333333333333,32.733333333333334,5.366666666666667,11.866666666666665,0.455,0.9333333333333335,2.733333333333333,0.3433333333333333,4.433333333333334,9.1,0.4883333333333333,0.49466666666666664,2.8666666666666667,3.4666666666666663,0.828,0.3333333333333333,2.066666666666667,2.433333333333333,6.266666666666667,1.4000000000000001,0.39999999999999997,2.6,2.1666666666666665,14.566666666666668,2014-15,6.071405221901321
Alan Anderson,SG,32,BRK,53.333333333333336,13.333333333333334,24.266666666666666,3.1,8.033333333333333,0.38999999999999996,1.3333333333333333,3.733333333333333,0.355,1.8,4.3,0.4243333333333333,0.47300000000000003,1.5999999999999999,1.9333333333333333,0.8300000000000001,0.5,1.6666666666666667,2.1666666666666665,1.3666666666666665,0.5333333333333333,0.13333333333333333,1.1666666666666667,2.0,9.166666666666666,2014-15,0.7115173813659816
Earl Clark,PF,27,BRK,52.666666666666664,18.0,16.572222222222223,1.9333333333333333,4.8,0.39399999999999996,0.45555555555555555,1.3611111111111114,0.22425547445255475,1.4777777777777779,3.505555555555556,0.4136348195329087,0.43595370370370373,0.6,0.8333333333333334,0.6958888888888888,0.8555555555555556,2.788888888888889,3.6444444444444444,0.6222222222222222,0.4166666666666667,0.6166666666666666,0.7666666666666667,1.5277777777777777,4.922222222222223,2014-15,-4.598809954744268
Jarrett Jack,PG,31,BRK,68.0,24.666666666666668,30.633333333333336,4.8,10.833333333333334,0.43933333333333335,0.9,2.4666666666666663,0.36433333333333334,3.9,8.4,0.461,0.48133333333333334,2.1999999999999997,2.5666666666666664,0.8513333333333333,0.3666666666666667,2.9,3.266666666666667,5.333333333333333,0.7333333333333334,0.20000000000000004,2.0333333333333337,1.8333333333333333,12.666666666666666,2014-15,1.5984290254536475
Joe Johnson,SG,33,BRK,70.33333333333333,70.33333333333333,34.93333333333334,6.366666666666667,14.333333333333334,0.44366666666666665,2.1,5.333333333333333,0.38800000000000007,4.3,9.033333333333333,0.47666666666666674,0.5156666666666667,2.1333333333333333,2.6,0.828,0.7333333333333334,2.6333333333333333,3.3666666666666667,3.366666666666667,0.7000000000000001,0.16666666666666666,1.7,1.4333333333333336,16.96666666666667,2014-15,2.986479549465844
Andrei Kirilenko,SF,33,BRK,57.666666666666664,43.333333333333336,27.333333333333332,3.4000000000000004,6.966666666666668,0.4956666666666667,0.3666666666666667,1.1666666666666667,0.28633333333333333,3.033333333333333,5.733333333333333,0.5259999999999999,0.518,2.533333333333333,3.5666666666666664,0.6783333333333333,1.4666666666666668,3.1999999999999997,4.666666666666667,2.466666666666667,1.2333333333333332,0.8666666666666667,1.6333333333333335,1.5,9.700000000000001,2014-15,-3.8850950233310257
Brook Lopez,C,26,BRK,32.0,32.0,29.666666666666668,7.633333333333333,14.566666666666668,0.526,0.0,0.03333333333333333,0.0,7.633333333333333,14.533333333333333,0.5273333333333333,0.526,4.5,6.166666666666667,0.7333333333333334,2.2333333333333334,3.266666666666667,5.5,1.0,0.3666666666666667,1.5666666666666667,1.5333333333333332,2.266666666666667,19.766666666666666,2014-15,3.349639996314777
Darius Morris,PG,24,BRK,31.333333333333332,5.666666666666667,11.566666666666668,1.2790123456790123,3.220987654320987,0.4067754677754678,0.37654320987654316,1.1024691358024692,0.3710877192982456,0.9024691358024691,2.1185185185185187,0.43111798396334483,0.46387248787248786,0.48395061728395056,0.7617283950617284,0.6592180451127819,0.2938271604938271,0.6962962962962962,0.9901234567901235,1.445679012345679,0.33209876543209876,0.0,0.9691358024691358,1.0814814814814815,3.451851851851852,2014-15,-4.5511507482309215
Deron Williams,PG,30,BRK,65.66666666666667,63.666666666666664,34.96666666666666,6.133333333333333,14.366666666666665,0.4323333333333333,1.9333333333333336,5.366666666666667,0.36000000000000004,4.233333333333333,9.0,0.476,0.5003333333333334,3.8333333333333335,4.533333333333333,0.8343333333333334,0.3333333333333333,2.6333333333333333,2.966666666666667,7.5,1.2333333333333334,0.3333333333333333,3.0,2.3333333333333335,18.066666666666666,2014-15,4.180252274659075
Brandon Bass,PF,29,BOS,74.0,60.333333333333336,28.96666666666667,4.3,8.933333333333334,0.4836666666666667,0.0,0.03333333333333333,0.111,4.3,8.9,0.4843333333333333,0.484,2.1,2.533333333333333,0.8426666666666667,1.7333333333333334,4.033333333333334,5.7,1.0,0.5,0.8666666666666667,1.0999999999999999,2.3,10.766666666666666,2014-15,-0.3305082550477308
Avery Bradley,SG,24,BOS,58.0,45.333333333333336,27.0,4.3,9.9,0.446,0.8000000000000002,2.1999999999999997,0.373,3.5,7.6000000000000005,0.46466666666666673,0.48466666666666675,1.0666666666666667,1.3666666666666665,0.7846666666666667,0.6333333333333334,1.9666666666666668,2.6,1.6333333333333335,1.0333333333333334,0.26666666666666666,1.3999999999999997,2.233333333333333,10.566666666666665,2014-15,3.2180940067249675
Evan Turner,SG,26,BOS,76.0,52.666666666666664,30.666666666666668,4.922222222222222,11.5,0.43030864197530866,0.5,1.5333333333333332,0.30159649122807014,4.444444444444444,9.944444444444445,0.446380355276907,0.4502451499118166,1.8777777777777775,2.477777777777778,0.7434776632302404,0.6111111111111112,5.077777777777778,5.722222222222221,3.4555555555555557,0.7666666666666666,0.19999999999999998,2.0888888888888886,2.1999999999999997,12.222222222222221,2014-15,1.0300203877299954
Gerald Wallace,SF,32,BOS,61.666666666666664,47.333333333333336,30.100000000000005,3.179310344827586,7.154022988505747,0.4518677248677248,0.5977011494252874,2.0252873563218388,0.29563275323516286,2.6149425287356323,5.171264367816092,0.5145161067330292,0.495037037037037,1.903448275862069,2.7850574712643676,0.6362659511031604,1.0333333333333334,3.918390804597701,4.985057471264368,2.6367816091954026,1.3908045977011494,0.5091954022988505,1.739080459770115,1.8574712643678162,8.87471264367816,2014-15,-4.925834690851667
Aaron Brooks,PG,30,CHI,61.333333333333336,14.666666666666666,20.733853444906373,3.192236672233474,8.004059476009429,0.4053610182013256,1.1453201802698125,3.350062626585652,0.3454796928389387,2.0809481931563805,4.653996849423776,0.4551737745607489,0.47820917899265486,1.3504040377121604,1.5448554406661217,0.8659277089046192,0.3988377808572883,1.1864976785227823,1.5897379751033414,3.1045841772376797,0.6041409053761149,0.14143999692048936,1.5407136469696432,1.899476779305689,8.951485123594972,2014-15,2.0913183116804213
Jimmy Butler,SG,25,CHI,85.66666666666667,29.666666666666668,25.662962962962965,2.6814814814814816,6.235185185185185,0.44585054575986566,0.5,1.6722222222222223,0.2213333333333333,2.1685185185185185,4.62962962962963,0.47579432624113477,0.475183879093199,2.3388888888888886,3.0944444444444446,0.7075205992509365,1.4518518518518517,2.762962962962963,4.214814814814815,1.474074074074074,1.1074074074074074,0.5166666666666667,1.0092592592592593,1.364814814814815,8.20185185185185,2014-15,7.201835664808301
