PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SF,26,ATL,73.66666666666667,39.833333333333336,22.06965174129353,3.145522388059701,7.169651741293532,0.4332689316613201,1.0519900497512438,2.971641791044776,0.3526820056715649,2.060199004975124,4.231343283582089,0.4882833957553059,0.5052329639350637,1.2248756218905474,1.7039800995024876,0.7049264705882353,0.32238805970149254,3.5149253731343286,3.8373134328358205,1.7154228855721392,0.9905472636815921,0.41144278606965173,1.4248756218905474,1.974875621890547,8.53457711442786,2015-16,3.348163948393013
Tim Hardaway,SG,23,ATL,62.333333333333336,10.666666666666666,20.299999999999997,3.033333333333333,7.416666666666667,0.416,1.2833333333333334,3.8333333333333335,0.34349999999999997,1.75,3.6166666666666667,0.4965,0.5056666666666667,1.3166666666666667,1.55,0.8515,0.15000000000000002,1.6666666666666667,1.8333333333333333,1.2333333333333334,0.38333333333333336,0.13333333333333333,0.75,1.3166666666666667,8.733333333333334,2015-16,-0.0003139796160875
Al Horford,C,29,ATL,71.16666666666667,71.16666666666667,31.71666666666667,6.883333333333333,13.050000000000002,0.5263333333333334,0.6000000000000001,1.7833333333333334,0.33466666666666667,6.283333333333334,11.266666666666666,0.5561666666666667,0.5499999999999999,1.45,1.9166666666666667,0.7656666666666667,1.8499999999999999,5.566666666666666,7.45,3.1,0.8500000000000001,1.4333333333333333,1.4500000000000002,1.8499999999999999,15.766666666666666,2015-16,5.573301309064947
Kyle Korver,SG,34,ATL,76.83333333333333,76.83333333333333,31.383333333333336,3.683333333333333,7.95,0.4589999999999999,2.4,5.416666666666667,0.44166666666666665,1.2499999999999998,2.5333333333333337,0.4875,0.6095,0.9666666666666667,1.0999999999999999,0.8701666666666666,0.21666666666666667,3.466666666666667,3.683333333333333,2.4,0.8000000000000002,0.45,1.2999999999999998,1.9833333333333334,10.633333333333333,2015-16,3.0161238245770985
Paul Millsap,PF,30,ATL,77.16666666666667,77.0,32.833333333333336,6.216666666666666,13.183333333333332,0.4705,0.9833333333333334,2.9333333333333336,0.3378333333333334,5.233333333333333,10.3,0.5081666666666667,0.5081666666666668,3.7166666666666663,4.916666666666667,0.7526666666666667,2.183333333333333,6.333333333333333,8.516666666666667,3.1999999999999997,1.7833333333333332,1.3333333333333333,2.3833333333333333,2.8499999999999996,17.099999999999998,2015-16,6.775941789003806
Mike Muscala,C,24,ATL,46.666666666666664,2.6666666666666665,10.700000000000001,1.616666666666667,3.1333333333333333,0.5041666666666668,0.16666666666666666,0.5833333333333333,0.29033333333333333,1.4500000000000002,2.6,0.5481666666666666,0.5333333333333333,0.5666666666666667,0.6666666666666666,0.8574999999999999,0.8833333333333333,1.5166666666666668,2.433333333333333,0.5666666666666667,0.26666666666666666,0.5,0.5166666666666667,1.2833333333333332,3.9166666666666665,2015-16,-1.8699185987487623
Dennis Schröder,PG,22,ATL,73.83333333333333,6.333333333333333,18.900000000000002,3.533333333333333,8.4,0.4166666666666667,0.7666666666666666,2.283333333333333,0.31766666666666665,2.816666666666667,6.133333333333333,0.453,0.45916666666666667,1.6333333333333335,2.0666666666666664,0.7835000000000001,0.3,1.8833333333333335,2.2,3.8833333333333333,0.7000000000000001,0.08333333333333333,1.9833333333333332,1.5666666666666667,9.450000000000001,2015-16,1.157970025783527
Mike Scott,PF,27,ATL,73.5,1.0,16.233333333333334,2.783333333333333,6.05,0.4618333333333333,0.8666666666666667,2.4,0.3623333333333334,1.9166666666666667,3.6166666666666667,0.5268333333333334,0.536,0.8666666666666666,1.05,0.791,0.7166666666666667,2.233333333333333,2.9166666666666665,1.0166666666666666,0.35000000000000003,0.11666666666666668,0.6666666666666666,1.3499999999999999,7.3,2015-16,-0.8622650917446675
Thabo Sefolosha,SF,31,ATL,65.0,18.0,22.299999999999997,2.3000000000000003,5.033333333333333,0.461,0.6,1.7666666666666666,0.32916666666666666,1.7,3.266666666666666,0.531,0.5178333333333334,0.8500000000000001,1.2000000000000002,0.6996666666666668,0.8166666666666665,3.4666666666666663,4.283333333333333,1.4166666666666667,1.0999999999999999,0.43333333333333335,0.8333333333333334,1.4333333333333333,6.016666666666667,2015-16,0.2901062348494955
Tiago Splitter,C,31,ATL,45.166666666666664,21.0,18.233333333333334,2.766666666666666,5.066666666666666,0.5346666666666667,0.0,0.06666666666666667,0.0,2.766666666666666,5.05,0.5385000000000001,0.5346666666666667,1.4666666666666668,1.9000000000000001,0.773,1.6000000000000003,2.766666666666667,4.283333333333333,1.1500000000000001,0.6166666666666666,0.4666666666666666,0.9666666666666667,2.0,6.899999999999999,2015-16,-1.31955101587395
Jeff Teague,PG,27,ATL,77.0,76.16666666666667,29.78333333333333,5.583333333333333,12.516666666666666,0.4458333333333333,1.1833333333333333,3.15,0.3691666666666667,4.383333333333333,9.316666666666668,0.4705,0.4931666666666666,3.5833333333333335,4.216666666666667,0.8468333333333332,0.4000000000000001,2.216666666666667,2.6166666666666667,6.400000000000001,1.3499999999999999,0.31666666666666665,2.8166666666666664,2.016666666666667,15.899999999999999,2015-16,4.153417376019743
Andrea Bargnani,C,30,BRK,39.666666666666664,13.833333333333334,20.916666666666668,4.183333333333333,9.183333333333332,0.45249999999999996,0.3333333333333333,1.05,0.26233333333333336,3.8166666666666664,8.083333333333334,0.472,0.46749999999999997,1.8333333333333333,2.2333333333333334,0.8208333333333332,0.9333333333333332,2.4499999999999997,3.4000000000000004,0.9166666666666669,0.13333333333333333,0.6,0.9999999999999999,1.6500000000000001,10.450000000000001,2015-16,-2.397883620537097
Wayne Ellington,SG,28,BRK,67.16666666666667,32.666666666666664,20.7,2.9499999999999997,7.333333333333333,0.4046666666666667,1.2166666666666668,3.2000000000000006,0.37299999999999994,1.75,4.133333333333333,0.429,0.488,0.6499999999999999,0.7666666666666667,0.851,0.3499999999999999,2.0666666666666664,2.3833333333333333,1.1500000000000001,0.5333333333333333,0.05000000000000001,0.6,1.0666666666666667,7.716666666666666,2015-16,0.9746344306394384
Jarrett Jack,PG,32,BRK,56.0,30.166666666666668,30.083333333333332,4.3,10.449999999999998,0.41016666666666673,0.7999999999999999,2.5833333333333335,0.29783333333333334,3.5,7.866666666666667,0.44449999999999995,0.44716666666666666,2.65,3.0,0.88,0.26666666666666666,3.35,3.65,5.95,0.9666666666666668,0.21666666666666667,2.533333333333333,2.0833333333333335,11.983333333333334,2015-16,3.6672171216043865
Sergey Karasev,SF,22,BRK,34.666666666666664,8.0,11.783333333333333,1.0166666666666668,2.583333333333333,0.39399999999999996,0.3499999999999999,1.1333333333333335,0.2823333333333333,0.7166666666666667,1.3666666666666665,0.49866666666666665,0.461,0.7166666666666667,0.8333333333333334,0.8688333333333333,0.3333333333333333,1.2,1.5333333333333332,0.9666666666666667,0.35000000000000003,0.05000000000000001,0.6166666666666666,0.9833333333333333,3.016666666666666,2015-16,-1.9893638615482212
Shane Larkin,PG,23,BRK,72.33333333333333,15.833333333333334,21.066666666666666,2.4166666666666665,5.583333333333333,0.4286666666666667,0.4666666666666666,1.3333333333333333,0.33383333333333337,1.95,4.3,0.45966666666666667,0.46866666666666673,0.8666666666666667,1.1166666666666665,0.7553333333333333,0.3666666666666667,1.683333333333333,2.0666666666666664,3.4500000000000006,1.0833333333333333,0.13333333333333333,1.45,1.6333333333333335,6.183333333333333,2015-16,1.135998718928301
Brook Lopez,C,27,BRK,63.333333333333336,54.0,31.816666666666666,7.6499999999999995,14.716666666666669,0.5203333333333333,0.0,0.15000000000000002,0.10483333333333333,7.6499999999999995,14.616666666666665,0.5241666666666667,0.5208333333333334,4.1,5.1499999999999995,0.801,2.783333333333333,4.666666666666667,7.366666666666667,1.3833333333333335,0.6833333333333335,1.75,1.9333333333333333,2.9333333333333336,19.483333333333334,2015-16,3.280740207504511
Thomas Robinson,PF,24,BRK,65.16666666666667,4.833333333333333,13.455555555555556,2.0185185185185186,4.348765432098765,0.46737323037323036,0.0,0.013580246913580235,0.0,2.0185185185185186,4.335185185185185,0.46960903426791284,0.46737323037323036,0.8388888888888889,1.632716049382716,0.492009505703422,1.7777777777777777,3.3111111111111113,5.158641975308641,0.5919753086419753,0.49382716049382713,0.41358024691358025,0.9938271604938272,1.7648148148148148,4.856172839506173,2015-16,-3.96499413417917
Henry Sims,C,25,BRK,39.0,16.833333333333332,18.971014492753625,2.770289855072464,6.0456521739130435,0.4512239204269772,0.03333333333333333,0.09999999999999999,0.06066666666666667,2.73695652173913,5.945652173913043,0.45589058709364383,0.4525572537603105,1.7304347826086957,2.1202898550724636,0.8005364842454394,1.6978260869565218,3.3811594202898547,5.0456521739130435,0.8579710144927536,0.5731884057971014,0.7094202898550724,1.0681159420289854,2.3173913043478263,7.18768115942029,2015-16,0.1447790583665344
