PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SF,26,ATL,71.71428571428571,10.714285714285714,15.583688699360339,1.892324093816631,4.426545842217484,0.4216753114194059,0.5748400852878464,1.7513859275053305,0.34559772400839683,1.2531982942430702,2.739445628997868,0.4688429641519529,0.4881136524601092,0.8140724946695096,1.3496801705756931,0.5965882352941175,0.23837953091684433,2.2113006396588486,2.449680170575693,1.0692963752665245,0.655223880597015,0.31247334754797446,0.9926439232409382,1.5640724946695097,5.202132196162047,2015-16,3.9628785772921087
Al Horford,C,29,ATL,62.42857142857143,62.42857142857143,31.692857142857143,7.2714285714285705,13.328571428571427,0.5466428571428572,0.09285714285714286,0.4428571428571429,0.3364285714285714,7.171428571428572,12.885714285714284,0.5539285714285714,0.5517857142857143,1.5999999999999999,2.2499999999999996,0.7287857142857144,1.9357142857142855,5.757142857142857,7.757142857142857,3.028571428571429,0.9142857142857144,1.342857142857143,1.6071428571428572,1.7285714285714289,16.32857142857143,2015-16,7.102966594156057
Kyle Korver,SG,34,ATL,73.78571428571429,72.78571428571429,32.56428571428571,3.942857142857143,8.178571428571429,0.4817142857142857,2.7928571428571423,5.828571428571428,0.48378571428571426,1.092857142857143,2.35,0.4726428571428571,0.654357142857143,1.3071428571428572,1.4785714285714289,0.9032142857142859,0.2357142857142857,3.8214285714285716,4.064285714285714,2.642857142857143,0.7999999999999999,0.5071428571428571,1.3642857142857143,1.9857142857142855,11.985714285714284,2015-16,2.882242462046363
Paul Millsap,PF,30,ATL,73.64285714285714,73.35714285714286,32.76428571428572,6.171428571428572,12.992857142857142,0.47271428571428575,1.0071428571428573,2.792857142857143,0.35492857142857137,5.164285714285714,10.292857142857144,0.5045,0.5108571428571429,3.607142857142857,4.799999999999999,0.7484999999999999,1.9857142857142855,5.964285714285714,7.950000000000001,3.0642857142857145,1.7357142857142855,0.9642857142857143,2.3214285714285716,2.814285714285714,16.892857142857142,2015-16,9.0126143993342
Mike Scott,PF,27,ATL,69.42857142857143,1.7857142857142858,16.564285714285713,3.142857142857143,6.828571428571429,0.4562857142857143,0.8714285714285713,2.5142857142857147,0.30971428571428566,2.2714285714285714,4.25,0.526,0.5175000000000001,1.0285714285714287,1.292857142857143,0.7868571428571428,0.75,2.4071428571428575,3.0928571428571425,0.9857142857142858,0.3785714285714286,0.03571428571428571,0.7071428571428571,1.257142857142857,8.085714285714285,2015-16,-1.2456784514186794
Thabo Sefolosha,SF,31,ATL,56.642857142857146,27.714285714285715,21.47857142857143,2.142857142857143,5.1,0.42164285714285715,0.6428571428571429,1.907142857142857,0.32657142857142857,1.4928571428571427,3.192857142857143,0.4782857142857143,0.4820714285714286,0.8857142857142856,1.0857142857142859,0.7772857142857142,0.9214285714285715,3.1499999999999995,4.071428571428571,1.4357142857142857,1.1071428571428572,0.37857142857142856,0.7642857142857142,1.4214285714285713,5.75,2015-16,0.6552888666053136
Tiago Splitter,C,31,ATL,56.07142857142857,40.92857142857143,20.63571428571429,3.2857142857142856,5.914285714285714,0.5481428571428572,0.0,0.028571428571428574,0.0,3.2857142857142856,5.878571428571428,0.5496428571428572,0.5481428571428572,1.8785714285714283,2.557142857142857,0.734,1.8857142857142857,3.4928571428571433,5.314285714285715,1.5071428571428573,0.65,0.65,1.2285714285714284,2.0,8.35,2015-16,-1.4534323784046852
Jeff Teague,PG,27,ATL,75.21428571428571,74.42857142857143,31.157142857142862,5.6499999999999995,12.485714285714286,0.45307142857142857,0.9785714285714285,2.8214285714285716,0.3401428571428572,4.642857142857143,9.571428571428571,0.48728571428571427,0.49228571428571427,3.764285714285714,4.4,0.8587857142857143,0.39285714285714285,2.1142857142857143,2.5142857142857147,6.928571428571429,1.5142857142857142,0.3428571428571429,2.835714285714286,1.957142857142857,15.978571428571428,2015-16,3.7700040163457302
Andrea Bargnani,C,30,BRK,33.142857142857146,27.071428571428573,28.014285714285712,5.528571428571429,12.271428571428572,0.4466428571428572,0.6,1.8928571428571428,0.3367857142857143,4.864285714285714,10.37857142857143,0.4698571428571428,0.47192857142857136,2.6357142857142857,3.221428571428572,0.8183571428571428,1.2142857142857142,3.357142857142857,4.607142857142857,1.4214285714285713,0.19285714285714284,0.9714285714285714,1.407142857142857,1.9714285714285715,14.221428571428573,2015-16,-3.0308289773543864
Wayne Ellington,SG,28,BRK,60.214285714285715,24.928571428571427,20.591758241758242,3.0554945054945053,7.3930402930402925,0.41992267513865705,1.1567765567765567,2.9701465201465203,0.3866919420014262,1.927289377289377,4.422893772893772,0.4425072856158314,0.5014101825426741,0.6347985347985349,0.7703296703296704,0.8467172619047618,0.3996336996336996,2.1595238095238094,2.494871794871795,1.238827838827839,0.4782051282051282,0.0034798534798534783,0.6247252747252748,1.0463369963369964,7.906227106227107,2015-16,0.4248664062032419
