PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
DeAndre' Bembry,SG,25,ATL,43,4,21.3,2.4,5.3,0.456,0.3,1.5,0.231,2.1,3.8,0.546,0.489,0.6,1.1,0.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8,2019-20,-0.07285433162492455
Charlie Brown,SG,22,ATL,10,0,4.0,0.6,1.9,0.316,0.3,0.9,0.333,0.3,1.0,0.3,0.395,0.5,0.5,1.0,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0,2019-20,-6.473022756319299
Vince Carter,PF,43,ATL,60,0,14.6,1.8,5.1,0.352,1.0,3.4,0.302,0.8,1.7,0.451,0.452,0.4,0.5,0.793,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5,5.0,2019-20,-2.605397448171609
John Collins,PF,22,ATL,41,41,33.2,8.6,14.8,0.583,1.4,3.6,0.401,7.2,11.2,0.642,0.632,2.9,3.7,0.8,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6,2019-20,10.015461479900631
Bruno Fernando,C,21,ATL,56,13,12.7,1.8,3.6,0.518,0.1,0.7,0.135,1.8,2.9,0.605,0.53,0.5,0.9,0.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3,2019-20,-3.3715503908623594
Brandon Goodwin,PG,24,ATL,34,1,12.6,2.2,5.6,0.4,0.8,2.6,0.299,1.5,3.0,0.485,0.468,0.8,0.9,0.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1,2019-20,-3.153156937430847
Kevin Huerter,SG,21,ATL,56,48,31.4,4.5,10.9,0.413,2.3,6.0,0.38,2.2,4.9,0.453,0.517,0.9,1.1,0.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2,2019-20,4.509337448510036
De'Andre Hunter,SF,22,ATL,63,62,32.0,4.4,10.8,0.41,1.7,4.8,0.355,2.7,6.0,0.454,0.489,1.7,2.3,0.764,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,12.3,2019-20,1.504269682895913
Damian Jones,C,24,ATL,55,27,16.1,2.2,3.2,0.68,0.0,0.2,0.222,2.2,3.1,0.704,0.685,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6,2019-20,-0.5270385769095339
Chandler Parsons,PF,31,ATL,5,0,10.8,1.0,3.6,0.278,0.8,2.8,0.286,0.2,0.8,0.25,0.389,0.0,0.0,0.0,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8,2019-20,-3.688525838443769
Cam Reddish,SF,20,ATL,58,34,26.7,3.7,9.6,0.384,1.4,4.3,0.332,2.2,5.2,0.428,0.459,1.7,2.2,0.802,0.6,3.1,3.7,1.5,1.1,0.5,1.7,2.3,10.5,2019-20,1.4879302898921596
Evan Turner,SG,31,ATL,19,0,13.2,1.3,3.5,0.373,0.0,0.3,0.0,1.3,3.3,0.403,0.373,0.6,0.7,0.857,0.4,1.6,2.0,2.0,0.5,0.4,1.4,1.1,3.3,2019-20,-4.404332643380854
Tyrone Wallace,SG,25,ATL,14,0,11.4,1.0,3.1,0.318,0.1,1.1,0.067,0.9,2.1,0.448,0.33,0.8,1.2,0.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9,2019-20,-5.417210749506356
Trae Young,PG,21,ATL,60,60,35.3,9.1,20.8,0.437,3.4,9.5,0.361,5.7,11.4,0.501,0.519,8.0,9.3,0.86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6,2019-20,9.016969677045418
Jarrett Allen,C,21,BRK,70,64,26.5,4.3,6.6,0.649,0.0,0.1,0.0,4.3,6.6,0.658,0.649,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,2019-20,5.097400596749915
Justin Anderson,SG,26,BRK,10,1,10.7,1.0,3.8,0.263,0.6,2.9,0.207,0.4,0.9,0.444,0.342,0.2,0.4,0.5,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,2019-20,-4.4325474408553305
Wilson Chandler,PF,32,BRK,35,3,21.0,2.1,5.2,0.404,1.1,3.5,0.306,1.1,1.8,0.597,0.505,0.6,0.7,0.87,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3,5.9,2019-20,-1.4778330320123747
Nicolas Claxton,C,20,BRK,15,0,12.5,1.8,3.2,0.563,0.1,0.5,0.143,1.7,2.7,0.634,0.573,0.7,1.4,0.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4,2019-20,-3.0534263896244758
Jamal Crawford,SG,39,BRK,1,0,6.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,2019-20,-2.9112569084219166
Spencer Dinwiddie,PG,26,BRK,64,49,31.2,6.6,16.0,0.415,1.9,6.3,0.308,4.7,9.7,0.485,0.476,5.4,7.0,0.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6,2019-20,4.82813058211243
Henry Ellenson,C,23,BRK,5,0,3.0,0.2,1.4,0.143,0.0,0.8,0.0,0.2,0.6,0.333,0.143,0.0,0.0,0.0,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4,2019-20,-8.432495592960617
Joe Harris,SF,28,BRK,69,69,30.8,5.5,11.4,0.486,2.5,5.9,0.424,3.0,5.5,0.553,0.596,0.9,1.3,0.719,0.9,3.4,4.3,2.1,0.6,0.2,1.5,2.3,14.5,2019-20,3.097480116582636
Kyrie Irving,PG,27,BRK,20,20,32.9,10.0,20.8,0.478,2.8,7.1,0.394,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,2019-20,11.546377020824863
DeAndre Jordan,C,31,BRK,56,6,22.0,3.4,5.1,0.666,0.0,0.0,0.0,3.4,5.1,0.666,0.666,1.5,2.2,0.68,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,8.3,2019-20,2.6806662028813597
Rodions Kurucs,PF,21,BRK,47,9,14.6,1.7,3.8,0.446,0.7,1.9,0.367,1.0,1.9,0.529,0.54,0.5,0.8,0.632,0.5,2.4,2.9,1.1,0.5,0.1,1.0,1.9,4.6,2019-20,-3.2764574568605473
Caris LeVert,SG,25,BRK,45,31,29.6,6.9,16.3,0.425,1.8,4.9,0.364,5.1,11.4,0.451,0.48,3.1,4.4,0.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7,2019-20,4.773723199923326
Jeremiah Martin,PG,23,BRK,9,0,11.0,2.7,5.9,0.453,0.6,2.0,0.278,2.1,3.9,0.543,0.5,1.2,1.6,0.786,0.1,1.0,1.1,2.0,0.8,0.2,0.4,0.8,7.1,2019-20,-0.9906149519107985
David Nwaba,SF,27,BRK,20,0,13.4,1.9,3.6,0.521,0.6,1.4,0.429,1.3,2.2,0.581,0.606,0.9,1.4,0.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2,2019-20,-1.1930106311438806
Theo Pinson,SG,24,BRK,33,0,11.1,1.4,4.7,0.29,0.5,2.4,0.188,0.9,2.3,0.4,0.339,0.5,0.5,0.938,0.3,1.3,1.6,1.7,0.5,0.1,1.0,1.1,3.6,2019-20,-4.619309930368846
Taurean Prince,PF,25,BRK,64,61,29.0,4.3,11.5,0.376,2.3,6.7,0.339,2.1,4.8,0.429,0.475,1.1,1.4,0.798,0.8,5.2,6.0,1.8,0.9,0.4,2.0,2.5,12.1,2019-20,3.135486378830173
Iman Shumpert,SF,29,BRK,13,0,18.5,1.6,4.9,0.328,0.6,2.5,0.242,1.0,2.4,0.419,0.391,0.3,0.5,0.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2,2019-20,-2.5537741978644464
Garrett Temple,SG,33,BRK,62,35,27.9,3.6,9.5,0.378,2.0,6.2,0.329,1.5,3.2,0.473,0.486,1.1,1.4,0.805,0.5,3.0,3.5,2.5,0.8,0.5,1.0,1.7,10.3,2019-20,2.87141553477427
Lance Thomas,PF,31,BRK,7,4,14.0,1.1,3.3,0.348,0.6,1.9,0.308,0.6,1.4,0.4,0.435,0.6,0.6,1.0,0.3,1.6,1.9,0.9,0.0,0.0,0.9,1.6,3.4,2019-20,-6.2992887469637004
Jaylen Brown,SG,23,BOS,57,57,33.9,7.5,15.6,0.481,2.3,5.9,0.382,5.2,9.6,0.543,0.554,3.1,4.3,0.724,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3,2019-20,6.265718191581087
