PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Bogdan Bogdanović,SG,28,ATL,69.66666666666667,32.666666666666664,28.233333333333334,5.033333333333334,11.600000000000001,0.4346666666666667,2.1,5.566666666666666,0.3746666666666667,2.9333333333333336,6.0,0.49300000000000005,0.524,1.5333333333333332,1.8999999999999997,0.8026666666666666,0.4666666666666666,2.8000000000000003,3.266666666666667,3.5,0.9666666666666667,0.20000000000000004,1.6666666666666667,2.1333333333333333,13.666666666666666,2020-21,5.426069918514176
Clint Capela,C,26,ATL,60.0,60.0,31.3,6.466666666666666,9.966666666666667,0.643,0.0,0.0,0.0,6.466666666666666,9.966666666666667,0.6433333333333334,0.643,1.9333333333333336,3.366666666666667,0.5750000000000001,4.0,8.433333333333332,12.433333333333332,1.1666666666666667,0.7666666666666666,1.7333333333333334,1.4666666666666668,2.533333333333333,14.799999999999999,2020-21,8.976961277775395
John Collins,PF,23,ATL,58.666666666666664,42.0,29.100000000000005,6.8,11.933333333333332,0.5730000000000001,0.8333333333333334,2.266666666666667,0.363,5.966666666666666,9.633333333333333,0.6163333333333333,0.6053333333333333,2.6666666666666665,3.5333333333333337,0.7593333333333333,2.9333333333333336,6.133333333333334,9.066666666666668,1.5999999999999999,0.6,1.1,1.7333333333333334,3.1999999999999997,17.2,2020-21,4.679303670961479
Kris Dunn,PG,26,ATL,49.666666666666664,39.666666666666664,28.133333333333336,4.3999999999999995,10.166666666666666,0.4326666666666667,0.7000000000000001,2.3000000000000003,0.31133333333333335,3.6666666666666665,7.866666666666667,0.4776666666666667,0.46900000000000003,1.2,1.6000000000000003,0.7583333333333333,0.4666666666666666,3.5666666666666664,3.9999999999999996,5.133333333333334,1.8333333333333333,0.43333333333333335,2.1666666666666665,3.3333333333333335,10.666666666666666,2020-21,-7.169727144960277
Danilo Gallinari,PF,32,ATL,51.0,50.333333333333336,30.41619047619048,5.514285714285715,12.699999999999998,0.43202249718785146,2.3104761904761904,5.914285714285714,0.38845454545454544,3.1704761904761907,6.785714285714285,0.4694271844660194,0.5226186726659168,4.486666666666667,4.9190476190476184,0.907349593495935,0.5685714285714286,4.725714285714285,5.327619047619048,2.1419047619047618,0.6647619047619047,0.2971428571428571,1.2857142857142856,1.4914285714285713,17.75904761904762,2020-21,1.3387110008838912
Solomon Hill,PF,29,ATL,38.333333333333336,6.666666666666667,18.021468926553673,1.4231638418079096,4.050282485875706,0.3478356522773219,0.696045197740113,2.3440677966101693,0.2926994219653179,0.7209039548022599,1.7728813559322034,0.4124616340478409,0.43234237126887853,0.48305084745762716,0.7101694915254236,0.6388773527625986,0.7000000000000001,2.304519774011299,2.931638418079096,1.6316384180790962,0.5977401129943504,0.15819209039548024,0.7790960451977401,1.6751412429378532,4.058757062146893,2020-21,-2.0049215891536702
Tony Snell,SG,29,ATL,69.33333333333333,42.666666666666664,24.266666666666666,2.533333333333333,5.7,0.444,1.4000000000000001,3.5666666666666664,0.40066666666666667,1.0999999999999999,2.1333333333333333,0.5143333333333334,0.5683333333333332,0.5,0.5666666666666667,0.891,0.2333333333333333,1.7333333333333334,1.9666666666666668,1.4666666666666668,0.5,0.30000000000000004,0.43333333333333335,1.4666666666666668,6.966666666666666,2020-21,-1.0172490906984204
Spencer Dinwiddie,SG,27,BRK,70.66666666666667,37.0,29.36666666666667,5.366666666666667,12.9,0.4146666666666667,1.8333333333333333,5.7,0.323,3.5333333333333337,7.166666666666667,0.4883333333333333,0.488,4.1000000000000005,5.2,0.799,0.4666666666666666,2.6,3.033333333333333,6.0,0.7000000000000001,0.3,2.1666666666666665,2.6333333333333333,16.666666666666668,2020-21,-1.3819384580338634
Kevin Durant,PF,32,BRK,69.33333333333333,69.33333333333333,34.06666666666666,9.133333333333335,17.400000000000002,0.5246666666666666,2.066666666666667,5.366666666666667,0.38233333333333336,7.066666666666666,12.066666666666668,0.5866666666666667,0.5836666666666667,5.466666666666666,6.2,0.883,0.5,6.633333333333333,7.166666666666667,5.366666666666667,0.8333333333333334,1.5,2.6999999999999997,1.9666666666666668,25.833333333333332,2020-21,8.079807852274646
Jeff Green,C,34,BRK,67.66666666666667,20.333333333333332,23.524999999999995,3.775,7.991666666666667,0.47180487804878046,1.1291666666666667,3.4125,0.3315016286644951,2.6458333333333335,4.6125,0.5788289637952558,0.5427119628339141,2.1625,2.5375,0.8445925925925927,0.6791666666666667,2.645833333333333,3.3249999999999997,1.3916666666666666,0.55,0.425,1.0541666666666665,1.9458333333333335,10.85,2020-21,1.1743945299294527
