PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Devin Harris,SG,29,ATL,65.83333333333333,65.0,30.160798122065728,4.441314553990609,10.406572769953051,0.43047409965466205,1.0218309859154928,3.10093896713615,0.33561001688238595,3.402816901408451,7.305633802816902,0.472844679618807,0.48354259167900016,3.6260563380281687,4.5420187793427225,0.7836674937965261,0.24929577464788732,1.9840375586854462,2.233333333333333,5.957746478873239,1.0427230046948357,0.18333333333333335,2.383333333333333,2.3267605633802817,13.530516431924882,2012-13,1.89208663835453
Al Horford,C,26,ATL,44.666666666666664,44.666666666666664,33.35,5.8,10.450000000000001,0.554,0.0,0.08333333333333333,0.3333333333333333,5.766666666666667,10.350000000000001,0.557,0.5545000000000001,2.066666666666667,2.7000000000000006,0.7639999999999999,2.483333333333333,5.8,8.25,2.6500000000000004,0.8333333333333334,1.1666666666666667,1.5,2.25,13.666666666666666,2012-13,6.837033557154703
Kyle Korver,SF,31,ATL,68.5,3.5,21.05,2.8000000000000003,6.316666666666666,0.44283333333333336,1.5833333333333333,3.616666666666667,0.4451666666666667,1.2,2.75,0.44216666666666665,0.5678333333333333,0.8333333333333334,1.0166666666666666,0.8441666666666666,0.26666666666666666,1.8833333333333335,2.15,1.6333333333333335,0.5166666666666666,0.20000000000000004,0.7666666666666667,1.7333333333333332,8.016666666666666,2012-13,5.2657143516688745
Zaza Pachulia,C,28,ATL,68.33333333333333,24.5,21.71666666666667,2.1666666666666665,4.3999999999999995,0.4845,0.0,0.016666666666666666,0.0,2.1666666666666665,4.383333333333333,0.48583333333333334,0.4845,1.7666666666666666,2.4166666666666665,0.7301666666666667,2.1,3.8833333333333333,5.983333333333334,1.0166666666666666,0.6666666666666666,0.4166666666666667,1.1166666666666665,2.6666666666666665,6.083333333333333,2012-13,-0.3421678494813777
Johan Petro,C,27,ATL,61.166666666666664,8.0,13.683333333333332,1.7166666666666668,3.9333333333333336,0.447,0.0,0.03333333333333333,0.5,1.7166666666666668,3.9,0.44883333333333336,0.44799999999999995,0.3833333333333333,0.5333333333333333,0.7088333333333333,1.0166666666666666,2.3833333333333333,3.433333333333333,0.6666666666666666,0.38333333333333336,0.4000000000000001,0.6,2.1833333333333336,3.8333333333333335,2012-13,-2.902015446734738
Josh Smith,PF,27,ATL,72.16666666666667,72.16666666666667,35.01666666666666,7.0,14.899999999999999,0.4721666666666667,0.43333333333333335,1.5333333333333332,0.23883333333333334,6.566666666666667,13.366666666666667,0.4923333333333333,0.48649999999999993,3.0833333333333335,4.683333333333334,0.6596666666666667,2.0833333333333335,7.016666666666667,9.083333333333334,3.75,1.3999999999999997,1.7333333333333334,2.5166666666666666,2.733333333333333,17.51666666666667,2012-13,7.556025859455192
DeShawn Stevenson,SG,31,ATL,60.166666666666664,36.0,17.064583333333335,1.2166666666666666,3.6604166666666664,0.31736178861788616,0.8833333333333334,2.795833333333333,0.30386363636363634,0.34375,0.8145833333333333,0.35291228070175434,0.4339512195121951,0.3375000000000001,0.4375,0.6720873015873016,0.18333333333333335,1.5125,1.7354166666666666,0.9125000000000001,0.34375,0.09375,0.48125,1.1312499999999999,3.570833333333333,2012-13,-0.931370706215816
Jeff Teague,PG,24,ATL,68.16666666666667,35.833333333333336,22.833333333333332,3.25,7.066666666666666,0.45,0.5166666666666667,1.4666666666666666,0.3325,2.783333333333333,5.633333333333334,0.4776666666666667,0.48133333333333334,1.5166666666666668,1.9833333333333332,0.7826666666666666,0.2333333333333333,1.6333333333333335,1.8499999999999999,3.4000000000000004,1.0833333333333335,0.4666666666666666,1.4166666666666667,1.7,8.566666666666666,2012-13,4.320121929403751
Anthony Tolliver,SF,27,ATL,54.833333333333336,6.166666666666667,20.81376811594203,2.134782608695652,5.029710144927536,0.41673558618645323,0.658695652173913,2.1456521739130436,0.3138968570163789,1.4427536231884057,2.8840579710144927,0.5232156862745098,0.48553586779309327,1.3,1.6949275362318843,0.767611111111111,1.2695652173913043,2.881884057971014,4.167391304347826,0.9521739130434783,0.4449275362318841,0.4608695652173913,0.7760869565217391,2.049275362318841,6.244202898550725,2012-13,-2.9318138282862667
Lou Williams,SG,26,ATL,67.66666666666667,6.333333333333333,25.900000000000002,4.766666666666667,11.399999999999999,0.4171666666666667,1.2333333333333334,3.466666666666667,0.35366666666666663,3.5333333333333337,7.933333333333333,0.445,0.4708333333333334,3.6500000000000004,4.466666666666666,0.8176666666666667,0.45,1.95,2.35,3.5833333333333335,0.8166666666666668,0.25,1.3,1.5499999999999998,14.35,2012-13,3.0922232685331363
Andray Blatche,C,26,BRK,47.833333333333336,33.5,28.0,5.016666666666667,11.75,0.418,0.11666666666666668,0.3333333333333333,0.26616666666666666,4.8999999999999995,11.466666666666667,0.4218333333333333,0.42183333333333334,2.1333333333333333,2.9,0.7195,2.1,4.616666666666667,6.683333333333333,1.6666666666666667,1.0666666666666667,0.7666666666666666,1.9666666666666668,2.4333333333333336,12.200000000000001,2012-13,1.533965008705332
Keith Bogans,SG,32,BRK,43.0,36.166666666666664,18.616666666666667,1.55,3.966666666666667,0.39233333333333337,0.8166666666666668,2.5833333333333335,0.31116666666666665,0.7333333333333334,1.4166666666666667,0.5216666666666666,0.496,0.38333333333333336,0.7333333333333334,0.542,0.6166666666666667,1.45,2.066666666666667,0.8999999999999999,0.46666666666666673,0.06666666666666667,0.5833333333333334,2.3000000000000003,4.300000000000001,2012-13,-2.288131943309424
Reggie Evans,PF,32,BRK,42.666666666666664,6.166666666666667,17.616666666666667,0.9666666666666667,2.2,0.4541666666666666,0.0,0.0,0.0,0.9666666666666667,2.2,0.45549999999999996,0.4541666666666666,1.0,1.9666666666666668,0.5101666666666667,2.4166666666666665,4.5,6.866666666666667,0.6333333333333333,0.7166666666666667,0.13333333333333333,0.9666666666666668,2.316666666666667,2.983333333333333,2012-13,1.069129582496665
Kris Humphries,PF,27,BRK,67.16666666666667,45.666666666666664,29.700241545893718,4.401690821256039,9.023188405797102,0.4894137790792256,0.0,0.0,0.0,4.401690821256039,9.012560386473432,0.4902087650057556,0.4894137790792256,2.5714975845410626,3.576086956521739,0.7082520154223625,3.1925120772946856,6.6944444444444455,9.87632850241546,1.1985507246376812,0.6258454106280195,1.0758454106280193,1.5743961352657003,2.5137681159420286,11.408212560386474,2012-13,-1.4865933169904575
Joe Johnson,SG,31,BRK,66.66666666666667,66.66666666666667,35.916666666666664,7.316666666666666,16.150000000000002,0.45100000000000007,1.7333333333333334,4.866666666666667,0.35450000000000004,5.583333333333333,11.366666666666667,0.4905,0.505,2.6833333333333336,3.266666666666667,0.8281666666666666,0.8833333333333334,3.0833333333333335,3.9500000000000006,4.333333333333333,0.8166666666666668,0.15000000000000002,1.9333333333333333,1.5666666666666667,19.01666666666667,2012-13,3.3875297201724925
