PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SG,28,ATL,71.0,65.66666666666667,27.400000000000002,4.233333333333333,10.0,0.42333333333333334,1.5,3.9666666666666663,0.36566666666666664,2.766666666666667,6.0,0.46199999999999997,0.49666666666666665,1.9000000000000001,2.466666666666667,0.773,0.4666666666666666,3.533333333333333,4.033333333333334,2.733333333333333,1.3333333333333333,0.6333333333333333,1.9666666666666668,2.3,11.833333333333334,2017-18,3.323088773566413
Dewayne Dedmon,C,28,ATL,65.33333333333333,34.333333333333336,18.2,2.6,4.733333333333333,0.5683333333333334,0.26666666666666666,0.7666666666666666,0.11833333333333333,2.3333333333333335,3.966666666666667,0.592,0.586,1.0,1.3,0.7426666666666666,1.5,4.633333333333333,6.1000000000000005,0.7666666666666666,0.5,0.8000000000000002,0.9333333333333332,2.3000000000000003,6.5,2017-18,3.0451614866991243
Jeremy Evans,SF,30,ATL,23.0,0.6666666666666666,6.8,0.9,1.3666666666666665,0.6980000000000001,0.06666666666666667,0.19999999999999998,0.21666666666666667,0.8333333333333334,1.1666666666666667,0.7513333333333333,0.7173333333333334,0.3666666666666667,0.5,0.5139999999999999,0.7000000000000001,0.8666666666666666,1.5666666666666667,0.13333333333333333,0.16666666666666666,0.19999999999999998,0.43333333333333335,0.7999999999999999,2.2666666666666666,2017-18,-0.5852754066850716
Mike Muscala,C,26,ATL,61.0,3.3333333333333335,15.700000000000001,2.1333333333333333,4.3999999999999995,0.48733333333333334,0.6999999999999998,1.8333333333333333,0.36566666666666664,1.4666666666666668,2.6,0.557,0.5566666666666668,0.7666666666666666,0.9333333333333332,0.8266666666666667,0.9333333333333335,2.3,3.233333333333333,1.0,0.4000000000000001,0.5333333333333333,0.7000000000000001,1.3666666666666665,5.7,2017-18,1.1892501720962023
Miles Plumlee,C,29,ATL,53.666666666666664,20.333333333333332,13.922962962962963,1.7192592592592593,3.037777777777778,0.5532391464311993,0.0,0.0,0.0,1.7192592592592593,3.037777777777778,0.5532391464311993,0.5532391464311993,0.5518518518518518,0.9896296296296296,0.5551287297527706,1.248148148148148,2.082222222222222,3.3444444444444446,0.5281481481481481,0.3192592592592592,0.5333333333333333,0.8237037037037037,1.405185185185185,3.9807407407407402,2017-18,-0.5237441010152507
Dennis Schröder,PG,24,ATL,75.33333333333333,50.333333333333336,27.599999999999998,6.166666666666667,14.100000000000001,0.436,1.1333333333333333,3.533333333333333,0.3173333333333333,5.066666666666666,10.533333333333333,0.47733333333333333,0.47766666666666663,2.6666666666666665,3.1666666666666665,0.8316666666666667,0.5,2.4000000000000004,2.9333333333333336,5.633333333333333,0.9666666666666668,0.13333333333333333,2.766666666666667,1.9333333333333333,16.099999999999998,2017-18,1.158610435161949
Quincy Acy,PF,27,BRK,55.666666666666664,12.666666666666666,16.28421052631579,1.9035087719298243,4.428070175438596,0.43858528951486697,0.919298245614035,2.4596491228070176,0.37988495575221237,0.9894736842105263,1.9736842105263157,0.46647642679900736,0.5355211267605634,0.8807017543859649,1.231578947368421,0.756057205720572,0.7508771929824561,2.5719298245614035,3.2947368421052636,0.6017543859649123,0.4456140350877193,0.40701754385964906,0.6508771929824562,1.8508771929824561,5.640350877192982,2017-18,-0.266504469134407
DeMarre Carroll,PF,31,BRK,57.0,55.666666666666664,28.73333333333333,3.8666666666666667,9.6,0.401,1.7666666666666666,4.766666666666667,0.36733333333333335,2.1,4.8,0.4426666666666667,0.49300000000000005,1.6666666666666667,2.3000000000000003,0.7083333333333334,1.1666666666666667,3.8333333333333335,5.033333333333333,1.3333333333333333,1.2,0.3333333333333333,1.0999999999999999,2.2333333333333334,11.133333333333333,2017-18,2.812322127495281
Allen Crabbe,SG,25,BRK,78.33333333333333,27.666666666666668,27.933333333333334,4.033333333333333,9.200000000000001,0.4446666666666667,1.9333333333333333,4.8,0.40499999999999997,2.1333333333333333,4.4,0.4856666666666667,0.5473333333333333,1.3333333333333333,1.5999999999999999,0.8553333333333333,0.3,2.9333333333333336,3.2999999999999994,1.3333333333333333,0.7000000000000001,0.3333333333333333,0.8666666666666667,2.2666666666666666,11.4,2017-18,2.7563029839365347
Spencer Dinwiddie,PG,24,BRK,50.333333333333336,25.333333333333332,21.566666666666666,2.6666666666666665,6.7,0.39433333333333337,0.8333333333333334,2.6333333333333333,0.26733333333333337,1.8,4.066666666666666,0.4463333333333333,0.4463333333333333,2.1333333333333333,2.966666666666667,0.727,0.43333333333333335,2.033333333333333,2.4666666666666663,3.8333333333333335,0.6333333333333333,0.2333333333333333,1.1,2.0,8.233333333333333,2017-18,3.3291567941157565
Joe Harris,SG,26,BRK,45.0,8.333333333333334,16.733333333333334,2.3666666666666667,5.266666666666667,0.38866666666666666,1.2333333333333334,3.233333333333333,0.35133333333333333,1.0999999999999999,2.033333333333333,0.3593333333333333,0.51,0.6,0.7333333333333334,0.5136666666666666,0.3333333333333333,1.9333333333333336,2.233333333333333,1.0,0.3333333333333333,0.16666666666666666,0.8333333333333334,1.5,6.533333333333334,2017-18,0.8254427466724314
Rondae Hollis-Jefferson,SF,23,BRK,58.333333333333336,42.0,24.0,3.4,7.433333333333333,0.4543333333333333,0.16666666666666666,0.7333333333333334,0.25033333333333335,3.1999999999999997,6.766666666666666,0.47666666666666674,0.4663333333333333,2.466666666666667,3.1999999999999997,0.7503333333333334,1.3333333333333333,4.633333333333333,5.966666666666666,2.0,1.1333333333333335,0.6333333333333333,1.4000000000000001,2.1666666666666665,9.466666666666667,2017-18,2.1298459511505308
Jeremy Lin,PG,29,BRK,38.333333333333336,15.666666666666666,25.266666666666666,4.566666666666666,10.799999999999999,0.4223333333333333,1.2,3.0666666666666664,0.4026666666666667,3.4,7.733333333333333,0.442,0.47733333333333333,4.433333333333334,4.866666666666666,0.8769999999999999,0.26666666666666666,2.033333333333333,2.3333333333333335,4.033333333333333,0.6333333333333333,0.3,2.433333333333333,2.4333333333333336,14.733333333333334,2017-18,-4.816113619564492
Timofey Mozgov,C,31,BRK,53.666666666666664,37.666666666666664,16.466666666666665,2.5000000000000004,4.6000000000000005,0.5463333333333334,0.03333333333333333,0.2333333333333333,0.12166666666666666,2.4333333333333336,4.366666666666666,0.577,0.5543333333333332,0.9333333333333332,1.2333333333333334,0.7636666666666666,1.4333333333333333,2.6999999999999997,4.166666666666667,0.5333333333333333,0.26666666666666666,0.6,1.1,1.9666666666666666,5.966666666666666,2017-18,-1.6888704557364282
D'Angelo Russell,PG,21,BRK,63.666666666666664,47.666666666666664,27.53333333333333,5.433333333333334,13.266666666666666,0.4096666666666666,1.8666666666666665,5.5,0.3423333333333333,3.533333333333333,7.733333333333333,0.457,0.48066666666666663,2.033333333333333,2.7000000000000006,0.7530000000000001,0.5666666666666668,3.033333333333333,3.6,4.433333333333334,1.133333333333333,0.3,2.8000000000000003,1.9333333333333336,14.766666666666666,2017-18,1.3263277205826705
Aron Baynes,C,31,BOS,79.0,23.333333333333332,16.333333333333332,2.3000000000000003,4.633333333333334,0.4963333333333333,0.0,0.09999999999999999,0.04766666666666666,2.3000000000000003,4.533333333333334,0.5026666666666667,0.49733333333333335,1.1333333333333335,1.4333333333333333,0.7866666666666667,1.6000000000000003,3.266666666666667,4.833333333333334,0.7000000000000001,0.26666666666666666,0.5666666666666668,0.8333333333333334,2.1999999999999997,5.733333333333333,2017-18,-0.3786673599662217
Gordon Hayward,SF,27,BOS,51.333333333333336,51.333333333333336,25.233333333333334,5.0,10.933333333333332,0.46799999999999997,1.2666666666666666,3.733333333333333,0.249,3.7000000000000006,7.2,0.661,0.5096666666666666,3.3000000000000003,3.966666666666667,0.5559999999999999,0.5,3.3000000000000003,3.8000000000000003,2.4,0.7333333333333334,0.19999999999999998,1.4666666666666668,1.6333333333333335,14.533333333333331,2017-18,-3.573344493811774
Al Horford,C,31,BOS,74.0,74.0,32.0,5.733333333333333,11.700000000000001,0.48900000000000005,1.2333333333333334,3.266666666666667,0.37599999999999995,4.5,8.4,0.5316666666666666,0.5423333333333334,1.4000000000000001,1.7666666666666666,0.7936666666666667,1.5333333333333332,5.6000000000000005,7.166666666666667,4.3,0.7333333333333334,1.3,1.5999999999999999,1.9666666666666668,14.033333333333333,2017-18,5.314587638266253
Kyrie Irving,PG,25,BOS,61.666666666666664,61.666666666666664,32.93333333333333,8.533333333333333,18.133333333333333,0.4706666666666666,2.3,5.933333333333334,0.37666666666666665,6.266666666666666,12.166666666666666,0.516,0.533,3.733333333333333,4.2,0.8930000000000001,0.7000000000000001,2.6,3.3333333333333335,5.2,1.1333333333333333,0.3,2.3666666666666667,2.066666666666667,23.066666666666663,2017-18,4.433021023616673
Shane Larkin,PG,25,BOS,69.33333333333333,13.666666666666666,20.433333333333334,2.3000000000000003,5.400000000000001,0.41966666666666663,0.5333333333333333,1.5,0.341,1.7666666666666666,3.9333333333333336,0.44766666666666666,0.4693333333333333,0.8333333333333334,1.0333333333333332,0.8076666666666666,0.3666666666666667,1.7333333333333332,2.1,3.066666666666667,0.9666666666666667,0.10000000000000002,1.2,1.5666666666666667,5.933333333333334,2017-18,-2.0676249621156697
Marcus Morris,PF,28,BOS,71.0,60.0,31.633333333333336,5.1,11.933333333333332,0.427,1.5,4.166666666666667,0.35366666666666663,3.633333333333333,7.766666666666666,0.46666666666666673,0.48900000000000005,2.1999999999999997,2.8666666666666667,0.7793333333333333,0.9666666666666668,4.066666666666666,5.033333333333333,1.9333333333333333,0.7000000000000001,0.26666666666666666,1.366666666666667,2.033333333333333,13.9,2017-18,0.8099548648808789
Terry Rozier,PG,23,BOS,64.33333333333333,5.333333333333333,17.0,2.2333333333333334,6.1000000000000005,0.3453333333333333,0.9666666666666667,2.6999999999999997,0.307,1.3,3.3666666666666667,0.36866666666666664,0.41,0.7666666666666666,1.0333333333333332,0.7816666666666666,0.6333333333333334,2.466666666666667,3.1333333333333333,1.8666666666666665,0.6,0.10000000000000002,0.7000000000000001,1.0,6.2,2017-18,2.7014500674553124
Marcus Smart,SG,23,BOS,64.66666666666667,15.0,29.2,3.3000000000000003,9.233333333333333,0.35799999999999993,1.2,4.266666666666667,0.27899999999999997,2.1,4.966666666666667,0.42533333333333334,0.4223333333333333,2.1666666666666665,2.8000000000000003,0.7726666666666667,1.0,2.8333333333333335,3.8666666666666667,4.133333333333333,1.4666666666666668,0.3666666666666667,1.8999999999999997,2.6333333333333333,9.966666666666667,2017-18,1.902553854959698
Cristiano Felício,C,25,CHI,50.666666666666664,6.666666666666667,14.666666666666666,1.8333333333333333,3.1666666666666665,0.5753333333333334,0.0,0.03333333333333333,0.0,1.8333333333333333,3.1333333333333333,0.5876666666666667,0.5753333333333334,0.9,1.3333333333333333,0.6753333333333332,1.4666666666666668,2.6,4.066666666666666,0.7999999999999999,0.30000000000000004,0.3,0.6333333333333333,1.5333333333333332,4.6,2017-18,-0.9462831259985084
Jerian Grant,PG,25,CHI,71.0,20.0,18.566666666666666,2.2666666666666666,5.566666666666666,0.4116666666666666,0.6333333333333334,1.9666666666666668,0.304,1.6666666666666667,3.6,0.465,0.4683333333333333,1.3999999999999997,1.7666666666666666,0.805,0.3333333333333333,1.6666666666666667,2.0,2.933333333333333,0.7666666666666666,0.10000000000000002,1.0,1.5333333333333332,6.633333333333333,2017-18,0.7553398103861381
Justin Holiday,SG,28,CHI,69.0,27.0,22.02767295597484,2.821383647798742,7.259119496855345,0.39768681076312307,1.3685534591194968,3.818238993710692,0.3583346203346203,1.4861635220125786,3.374213836477987,0.43755754129434066,0.489516100573445,1.068553459119497,1.3352201257861633,0.7881925133689839,0.3169811320754717,2.486792452830189,2.7874213836477986,1.4540880503144653,0.8339622641509434,0.4012578616352201,0.9515723270440253,1.4522012578616355,8.129559748427672,2017-18,2.492755875716109
Zach LaVine,SG,22,CHI,51.0,34.666666666666664,30.833333333333332,5.966666666666666,13.866666666666665,0.43133333333333335,1.9666666666666666,5.2,0.37233333333333335,4.033333333333333,8.666666666666666,0.4673333333333334,0.5006666666666667,2.6999999999999997,3.3333333333333335,0.8140000000000001,0.3666666666666667,3.0,3.3666666666666667,3.033333333333333,0.9,0.20000000000000004,1.8333333333333333,2.3,16.53333333333333,2017-18,1.2090432044892414
Robin Lopez,C,29,CHI,75.66666666666667,75.66666666666667,27.166666666666668,4.800000000000001,9.266666666666666,0.5206666666666667,0.03333333333333333,0.06666666666666667,0.09533333333333333,4.800000000000001,9.166666666666666,0.5233333333333333,0.5216666666666666,1.2,1.5666666666666664,0.7573333333333334,2.8000000000000003,3.3000000000000003,6.066666666666666,1.4333333333333333,0.20000000000000004,1.2666666666666666,1.4666666666666668,1.9333333333333333,10.833333333333334,2017-18,-0.2395186981358326
Quincy Pondexter,SF,29,CHI,37.666666666666664,11.0,16.793333333333333,1.7333333333333332,4.446666666666666,0.3662918069584737,0.6666666666666666,2.18,0.27679012345679016,1.0333333333333332,2.3000000000000003,0.44416049382716044,0.4332951739618407,0.98,1.2333333333333334,0.7850256410256411,0.5666666666666667,1.2533333333333332,1.84,0.9866666666666667,0.2866666666666667,0.17333333333333334,0.7200000000000001,1.4066666666666665,5.166666666666667,2017-18,-4.623220279001307
Bobby Portis,PF,22,CHI,66.33333333333333,7.0,18.633333333333333,3.7000000000000006,8.0,0.462,0.6333333333333334,1.8,0.3333333333333333,3.0666666666666664,6.233333333333334,0.49933333333333335,0.49866666666666665,1.0,1.3666666666666665,0.719,1.8,3.8666666666666667,5.6000000000000005,1.0,0.4666666666666666,0.30000000000000004,0.9666666666666667,1.6333333333333335,9.0,2017-18,1.5794813689183642
Nicolas Batum,SG,29,CHO,70.33333333333333,70.33333333333333,33.333333333333336,4.866666666666666,11.799999999999999,0.4146666666666667,1.7333333333333332,5.1000000000000005,0.339,3.1666666666666665,6.7,0.47266666666666673,0.488,2.4,2.8000000000000003,0.8453333333333334,0.7666666666666666,4.933333333333333,5.7,5.733333333333333,1.0,0.4666666666666666,2.466666666666667,1.3666666666666665,13.866666666666667,2017-18,3.067489058021704
Michael Carter-Williams,PG,26,CHO,50.333333333333336,19.333333333333332,21.8,2.8666666666666667,7.166666666666667,0.38333333333333336,0.3,1.1666666666666667,0.248,2.6,6.0,0.4126666666666667,0.40633333333333327,1.5666666666666664,2.1333333333333333,0.7423333333333333,0.6999999999999998,3.0,3.733333333333333,3.3000000000000003,1.0333333333333332,0.5666666666666668,1.7666666666666666,2.4,7.566666666666667,2017-18,-1.0271496269178635
Dwight Howard,C,32,CHO,75.33333333333333,75.33333333333333,30.73333333333333,5.533333333333334,9.333333333333334,0.6026666666666668,0.0,0.06666666666666667,0.04766666666666666,5.533333333333334,9.3,0.6066666666666668,0.6030000000000001,3.5,6.533333333333334,0.532,3.5,8.8,12.333333333333334,1.3666666666666665,0.8333333333333334,1.4666666666666668,2.4,2.966666666666667,14.6,2017-18,4.6461141766323095
Frank Kaminsky,PF,24,CHO,78.33333333333333,7.666666666666667,23.46666666666667,3.6333333333333333,8.766666666666666,0.4126666666666667,1.2,3.5666666666666664,0.34833333333333333,2.3666666666666667,5.2,0.4563333333333333,0.482,1.6333333333333335,2.1333333333333333,0.7616666666666667,0.7666666666666667,3.3666666666666667,4.066666666666666,1.6666666666666667,0.5333333333333333,0.39999999999999997,0.8333333333333334,1.5666666666666667,10.1,2017-18,0.1320412918813956
Michael Kidd-Gilchrist,SF,24,CHO,54.0,54.0,27.766666666666666,4.033333333333334,7.966666666666666,0.5073333333333333,0.13333333333333333,0.3666666666666667,0.18000000000000002,3.9,7.566666666666666,0.5146666666666667,0.516,2.1333333333333333,2.9333333333333336,0.7193333333333333,1.5666666666666664,4.2,5.833333333333333,1.2333333333333334,0.6999999999999998,0.6,0.8333333333333334,1.8333333333333333,10.366666666666665,2017-18,0.0719429833245375
Jeremy Lamb,SG,25,CHO,69.33333333333333,7.666666666666667,20.533333333333335,3.9666666666666663,8.666666666666666,0.456,0.9,2.766666666666667,0.32,3.0666666666666664,5.933333333333334,0.52,0.507,1.6666666666666667,2.0,0.8136666666666666,0.6,3.466666666666667,4.066666666666666,1.5666666666666664,0.6,0.43333333333333335,0.8666666666666666,1.6333333333333335,10.466666666666667,2017-18,1.5559022027647718
Johnny O'Bryant,PF,24,CHO,37.666666666666664,1.3333333333333333,10.263636363636364,1.5212121212121215,3.5727272727272728,0.43689074693422514,0.2333333333333333,0.5818181818181819,0.6253333333333333,1.3,2.9909090909090907,0.44575871687587165,0.4699520624303233,0.4969696969696969,0.6212121212121212,0.7953225806451613,0.8696969696969697,1.4787878787878788,2.348484848484848,0.48484848484848486,0.19999999999999998,0.12121212121212122,0.48181818181818176,1.2424242424242424,3.7606060606060603,2017-18,-2.337619281618418
Julyan Stone,SG,29,CHO,16.0,0.0,6.766666666666666,0.3666666666666667,0.6333333333333333,0.6246666666666666,0.13333333333333333,0.3333333333333333,0.2373333333333333,0.2333333333333333,0.3,0.5186666666666667,0.7210000000000001,0.3,0.4000000000000001,0.639,0.19999999999999998,0.7999999999999999,1.0333333333333334,0.7333333333333334,0.20000000000000004,0.03333333333333333,0.3333333333333333,0.8333333333333334,1.1666666666666667,2017-18,-2.411681979738869
