PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SG,28,ATL,74.0,56.333333333333336,25.666666666666668,3.75,8.916666666666666,0.42250000000000004,1.25,3.466666666666667,0.35266666666666663,2.533333333333333,5.416666666666667,0.4681666666666667,0.49183333333333334,1.4666666666666668,2.033333333333333,0.7256666666666666,0.48333333333333334,3.266666666666667,3.8000000000000003,2.1333333333333333,1.15,0.5833333333333333,1.6166666666666665,2.1999999999999997,10.233333333333333,2017-18,3.793887884124177
Dewayne Dedmon,C,28,ATL,67.16666666666667,27.666666666666668,15.200000000000001,1.866666666666667,3.1833333333333336,0.5910000000000001,0.0,0.0,0.0,1.866666666666667,3.1833333333333336,0.5915,0.5910000000000001,0.8833333333333334,1.2166666666666666,0.6880000000000001,1.5833333333333333,3.8333333333333335,5.383333333333333,0.39999999999999997,0.43333333333333335,0.8000000000000002,0.75,2.233333333333333,4.633333333333333,2017-18,3.44278240624497
Jeremy Evans,SF,30,ATL,38.666666666666664,1.6666666666666667,9.583333333333334,1.1666666666666667,2.1333333333333333,0.5428333333333334,0.08333333333333333,0.2833333333333333,0.25833333333333336,1.0666666666666667,1.8499999999999999,0.621,0.569,0.5833333333333334,0.7999999999999999,0.7463333333333333,0.7333333333333334,1.5833333333333333,2.316666666666667,0.26666666666666666,0.3,0.36666666666666664,0.23333333333333336,0.9166666666666666,3.016666666666666,2017-18,-3.5409374752736
Mike Muscala,C,26,ATL,61.666666666666664,2.8333333333333335,14.083333333333334,1.9833333333333332,3.8666666666666667,0.5103333333333334,0.44999999999999996,1.1333333333333335,0.3798333333333333,1.5833333333333333,2.766666666666667,0.5573333333333333,0.5626666666666666,0.6166666666666666,0.7833333333333333,0.7946666666666667,0.9666666666666668,1.8666666666666665,2.8666666666666667,0.9999999999999999,0.3333333333333333,0.5499999999999999,0.65,1.3166666666666667,5.016666666666667,2017-18,2.1895150176225515
Miles Plumlee,C,29,ATL,55.0,15.333333333333334,12.87371385083714,1.557199391171994,2.851643835616438,0.5280065022497732,0.0,0.0,0.0,1.557199391171994,2.851643835616438,0.5280065022497732,0.5280065022497732,0.5357686453576864,0.8714307458143075,0.604938322235617,1.1831811263318113,1.8619178082191779,3.0662100456621,0.42121765601217653,0.3658751902587518,0.5659817351598174,0.6805327245053272,1.4557229832572294,3.640060882800609,2017-18,-1.5423364075235888
Dennis Schröder,PG,24,ATL,79.0,42.666666666666664,25.8,5.433333333333334,12.4,0.437,1.1,3.1666666666666665,0.3358333333333334,4.416666666666667,9.183333333333332,0.47333333333333333,0.4811666666666667,2.3166666666666664,2.75,0.8290000000000001,0.4166666666666667,2.3333333333333335,2.766666666666667,5.3,0.85,0.15000000000000002,2.733333333333333,1.7833333333333332,14.283333333333331,2017-18,1.8575533176980452
Quincy Acy,PF,27,BRK,50.0,13.833333333333334,15.409649122807018,1.93859649122807,4.258771929824561,0.46371126760563386,0.6289473684210526,1.6061403508771932,0.3806607669616519,1.3342105263157897,2.6605263157894736,0.4890479735318445,0.5362816901408451,1.0210526315789474,1.430701754385965,0.7337524752475248,0.8429824561403509,2.5078947368421054,3.292105263157895,0.5859649122807017,0.40175438596491225,0.393859649122807,0.5929824561403508,1.8096491228070175,5.6271929824561395,2017-18,0.2946912303204315
DeMarre Carroll,PF,31,BRK,56.333333333333336,54.833333333333336,28.333333333333332,3.6333333333333333,8.816666666666666,0.4108333333333334,1.6333333333333335,4.416666666666667,0.3663333333333334,1.9833333333333332,4.366666666666667,0.4653333333333333,0.504,1.3,1.866666666666667,0.6974999999999999,1.0833333333333333,3.266666666666667,4.35,1.1166666666666667,1.3333333333333333,0.30000000000000004,0.9500000000000002,2.1666666666666665,10.216666666666667,2017-18,3.1453740549717866
Allen Crabbe,SG,25,BRK,75.0,7.666666666666667,25.150000000000002,3.366666666666666,7.3999999999999995,0.45566666666666666,1.4166666666666667,3.3499999999999996,0.41183333333333333,1.9833333333333334,4.050000000000001,0.49449999999999994,0.5513333333333333,1.0833333333333333,1.3166666666666667,0.8375,0.21666666666666667,2.283333333333333,2.5833333333333335,1.1333333333333333,0.6833333333333332,0.26666666666666666,0.7166666666666668,2.15,9.333333333333334,2017-18,3.4681596648865
Spencer Dinwiddie,PG,24,BRK,39.166666666666664,9.166666666666666,17.96666666666667,1.9333333333333333,4.883333333333333,0.38966666666666666,0.39999999999999997,1.4333333333333333,0.2521666666666667,1.4833333333333334,3.4499999999999997,0.4378333333333333,0.43,1.7333333333333336,2.45,0.7400000000000001,0.3666666666666667,1.7333333333333332,2.0999999999999996,2.6666666666666665,0.5499999999999999,0.23333333333333336,0.9166666666666666,1.8333333333333333,5.966666666666666,2017-18,3.8731340956854377
