PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SG,25,ATL,71.71428571428571,10.714285714285714,15.583688699360339,1.892324093816631,4.426545842217484,0.4216753114194059,0.5748400852878464,1.7513859275053305,0.34559772400839683,1.2531982942430702,2.739445628997868,0.4688429641519529,0.4881136524601092,0.8140724946695096,1.3496801705756931,0.5965882352941175,0.23837953091684433,2.2113006396588486,2.449680170575693,1.0692963752665245,0.655223880597015,0.31247334754797446,0.9926439232409382,1.5640724946695097,5.202132196162047,2014-15,-0.992278506755041
Elton Brand,C,35,ATL,49.142857142857146,8.142857142857142,15.735714285714286,1.707142857142857,3.4285714285714284,0.4719285714285714,0.0,0.0,0.0,1.707142857142857,3.4285714285714284,0.4760714285714286,0.4719285714285714,0.48571428571428577,0.8499999999999999,0.5717142857142858,1.0142857142857142,2.6142857142857143,3.6285714285714286,0.7428571428571428,0.5142857142857143,0.8857142857142856,0.6071428571428571,1.9000000000000001,3.8785714285714286,2014-15,-1.5790451033299764
DeMarre Carroll,SF,28,ATL,70.57142857142857,66.07142857142857,30.49285714285714,4.228571428571429,8.842857142857143,0.4802142857142857,1.4857142857142855,3.8999999999999995,0.3777857142857143,2.742857142857143,4.942857142857143,0.5573571428571429,0.5632857142857143,1.6642857142857141,2.3214285714285716,0.7267857142857144,1.4214285714285713,3.7857142857142856,5.178571428571429,1.6714285714285713,1.3285714285714287,0.24285714285714288,1.0571428571428572,2.2857142857142856,11.7,2014-15,3.943036872623023
Al Horford,C,28,ATL,62.42857142857143,62.42857142857143,31.692857142857143,7.2714285714285705,13.328571428571427,0.5466428571428572,0.09285714285714286,0.4428571428571429,0.3364285714285714,7.171428571428572,12.885714285714284,0.5539285714285714,0.5517857142857143,1.5999999999999999,2.2499999999999996,0.7287857142857144,1.9357142857142855,5.757142857142857,7.757142857142857,3.028571428571429,0.9142857142857144,1.342857142857143,1.6071428571428572,1.7285714285714289,16.32857142857143,2014-15,5.280959975646281
John Jenkins,SG,23,ATL,23.5,2.0714285714285716,12.514285714285714,1.7785714285714285,3.892857142857143,0.4589285714285714,0.7285714285714285,1.9785714285714284,0.3505714285714286,1.1214285714285714,1.9857142857142858,0.5617142857142857,0.5472142857142857,0.6071428571428571,0.6785714285714286,0.8872142857142856,0.14285714285714285,1.4857142857142858,1.6214285714285717,0.6142857142857144,0.3,0.042857142857142864,0.4714285714285714,0.6571428571428571,4.921428571428572,2014-15,-0.1784429164795278
Kyle Korver,SG,33,ATL,73.78571428571429,72.78571428571429,32.56428571428571,3.942857142857143,8.178571428571429,0.4817142857142857,2.7928571428571423,5.828571428571428,0.48378571428571426,1.092857142857143,2.35,0.4726428571428571,0.654357142857143,1.3071428571428572,1.4785714285714289,0.9032142857142859,0.2357142857142857,3.8214285714285716,4.064285714285714,2.642857142857143,0.7999999999999999,0.5071428571428571,1.3642857142857143,1.9857142857142855,11.985714285714284,2014-15,5.858150645167808
Shelvin Mack,PG,24,ATL,58.42857142857143,3.357142857142857,16.494009216589863,2.3152073732718894,5.668663594470046,0.4105720526494951,0.7205069124423963,2.309216589861751,0.32452828854314003,1.5661290322580645,3.3380184331797236,0.47018334849863513,0.4771634517190514,0.5986175115207374,0.7085253456221198,0.8038837622005325,0.15645161290322582,1.4645161290322581,1.620967741935484,3.014516129032258,0.5589861751152074,0.0,0.9990783410138249,0.8755760368663594,5.944009216589862,2014-15,-0.8968289432471492
Paul Millsap,PF,29,ATL,73.64285714285714,73.35714285714286,32.76428571428572,6.171428571428572,12.992857142857142,0.47271428571428575,1.0071428571428573,2.792857142857143,0.35492857142857137,5.164285714285714,10.292857142857144,0.5045,0.5108571428571429,3.607142857142857,4.799999999999999,0.7484999999999999,1.9857142857142855,5.964285714285714,7.950000000000001,3.0642857142857145,1.7357142857142855,0.9642857142857143,2.3214285714285716,2.814285714285714,16.892857142857142,2014-15,6.232408773998893
Mike Scott,PF,26,ATL,69.42857142857143,1.7857142857142858,16.564285714285713,3.142857142857143,6.828571428571429,0.4562857142857143,0.8714285714285713,2.5142857142857147,0.30971428571428566,2.2714285714285714,4.25,0.526,0.5175000000000001,1.0285714285714287,1.292857142857143,0.7868571428571428,0.75,2.4071428571428575,3.0928571428571425,0.9857142857142858,0.3785714285714286,0.03571428571428571,0.7071428571428571,1.257142857142857,8.085714285714285,2014-15,-0.2969058375787233
Thabo Sefolosha,SF,30,ATL,56.642857142857146,27.714285714285715,21.47857142857143,2.142857142857143,5.1,0.42164285714285715,0.6428571428571429,1.907142857142857,0.32657142857142857,1.4928571428571427,3.192857142857143,0.4782857142857143,0.4820714285714286,0.8857142857142856,1.0857142857142859,0.7772857142857142,0.9214285714285715,3.1499999999999995,4.071428571428571,1.4357142857142857,1.1071428571428572,0.37857142857142856,0.7642857142857142,1.4214285714285713,5.75,2014-15,1.5382815425856988
