PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Elton Brand,C,34,ATL,68.33333333333333,31.0,23.166666666666668,3.466666666666667,6.933333333333333,0.502,0.0,0.0,0.0,3.466666666666667,6.933333333333333,0.5036666666666667,0.502,1.0333333333333332,1.5,0.6973333333333334,1.8333333333333333,4.166666666666667,6.033333333333334,1.2,0.7333333333333334,1.366666666666667,0.9,2.733333333333333,7.966666666666666,2013-14,1.0692653731752677
DeMarre Carroll,SF,27,ATL,54.333333333333336,31.333333333333332,21.150000000000002,2.744444444444444,6.038888888888889,0.44836477987421386,0.6444444444444445,1.877777777777778,0.34933333333333333,2.1,4.1611111111111105,0.4915348837209302,0.4966100628930817,1.0611111111111111,1.3555555555555554,0.8043333333333335,1.3222222222222222,2.2166666666666663,3.505555555555555,1.1666666666666667,0.9666666666666667,0.2611111111111111,0.7000000000000001,1.9833333333333334,7.2,2013-14,4.108607178171246
Al Horford,C,27,ATL,38.0,38.0,33.93333333333334,7.066666666666666,12.733333333333334,0.5543333333333333,0.03333333333333333,0.20000000000000004,0.288,7.0,12.533333333333333,0.5583333333333335,0.5563333333333333,1.9333333333333333,2.8000000000000003,0.6863333333333334,2.433333333333333,6.099999999999999,8.533333333333333,2.6666666666666665,0.9666666666666667,1.3,1.9000000000000001,2.0,16.133333333333333,2013-14,4.611552314671288
Kyle Korver,SG,32,ATL,70.0,46.0,29.0,3.5,7.666666666666667,0.45599999999999996,2.3333333333333335,5.1000000000000005,0.4546666666666666,1.2,2.6,0.4586666666666666,0.6063333333333333,0.9666666666666668,1.1333333333333335,0.8726666666666666,0.3333333333333333,3.1,3.466666666666667,2.1999999999999997,0.8333333333333334,0.3333333333333333,1.0333333333333334,2.033333333333333,10.333333333333334,2013-14,6.02193823931803
Shelvin Mack,PG,23,ATL,56.0,4.666666666666667,15.338709677419354,2.0709677419354837,4.787096774193548,0.42933624569764367,0.5290322580645161,1.6096774193548387,0.3277986798679868,1.5086021505376344,3.210752688172043,0.4715222929936305,0.4830961080222398,0.6268817204301075,0.8064516129032259,0.7057908902691512,0.1967741935483871,1.4677419354838708,1.6311827956989247,2.6344086021505375,0.5419354838709677,0.0,1.0290322580645161,1.1526881720430107,5.238709677419355,2013-14,1.070349598759075
Paul Millsap,PF,28,ATL,72.0,71.0,32.23333333333333,6.233333333333333,12.933333333333332,0.482,0.43333333333333335,1.3,0.3056666666666667,5.766666666666667,11.666666666666666,0.49666666666666676,0.49833333333333335,3.5,4.633333333333333,0.755,2.4,5.733333333333334,8.133333333333333,2.6666666666666665,1.5999999999999999,0.9666666666666668,2.033333333333333,3.1,16.366666666666667,2013-14,5.831020648422461
Dexter Pittman,C,25,ATL,16.0,2.0,4.345454545454545,0.5515151515151516,1.4151515151515153,0.2690434782608696,0.0,0.0,0.0,0.5515151515151516,1.4151515151515153,0.2690434782608696,0.2690434782608696,0.16666666666666666,0.6848484848484849,0.21433333333333335,0.9727272727272727,0.5939393939393939,1.5333333333333332,0.09999999999999999,0.06666666666666667,0.06666666666666667,0.24848484848484845,0.9484848484848486,1.2454545454545454,2013-14,-11.661188067716829
Jeff Teague,PG,25,ATL,75.0,74.33333333333333,32.733333333333334,5.366666666666667,11.866666666666665,0.455,0.9333333333333335,2.733333333333333,0.3433333333333333,4.433333333333334,9.1,0.4883333333333333,0.49466666666666664,2.8666666666666667,3.4666666666666663,0.828,0.3333333333333333,2.066666666666667,2.433333333333333,6.266666666666667,1.4000000000000001,0.39999999999999997,2.6,2.1666666666666665,14.566666666666668,2013-14,3.799399357460913
Lou Williams,PG,27,ATL,54.333333333333336,5.333333333333333,26.366666666666664,4.366666666666667,10.6,0.4096666666666667,1.4666666666666668,4.166666666666667,0.357,2.8666666666666667,6.433333333333333,0.447,0.48100000000000004,2.966666666666667,3.5666666666666664,0.843,0.3,1.8999999999999997,2.1999999999999997,3.533333333333333,0.9,0.2333333333333333,1.5,1.3,13.133333333333333,2013-14,2.038211677131069
Alan Anderson,SF,31,BRK,53.333333333333336,13.333333333333334,24.266666666666666,3.1,8.033333333333333,0.38999999999999996,1.3333333333333333,3.733333333333333,0.355,1.8,4.3,0.4243333333333333,0.47300000000000003,1.5999999999999999,1.9333333333333333,0.8300000000000001,0.5,1.6666666666666667,2.1666666666666665,1.3666666666666665,0.5333333333333333,0.13333333333333333,1.1666666666666667,2.0,9.166666666666666,2013-14,-0.0973179396635321
