PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SF,27,ATL,72.33333333333333,64,26.9,4.0,9.9,0.4305378633226402,0.9039800995024875,3.6,0.346,2.8,6.2,0.446,0.473,1.6,2.3,0.6665196078431372,0.6,2.5,3.274626865671642,1.5641791044776119,0.8810945273631839,0.7,1.3164179104477611,2.3,7.602487562189054,2016-17,2.1075610196355834
Tim Hardaway,SG,24,ATL,67.33333333333333,30,27.3,5.3,11.5,0.41566666666666663,1.4000000000000001,5.3,0.357,3.4,6.3,0.537,0.537,2.1,2.7,0.8406666666666668,0.4,2.4,1.8,1.2,0.4000000000000001,0.2,0.7666666666666666,1.3,9.366666666666667,2016-17,3.6481706623004646
Dwight Howard,C,31,ATL,61.0,74,29.7,5.2,8.3,0.6013333333333333,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.5213333333333333,4.0,8.7,11.5,1.4666666666666668,0.8333333333333334,1.2,2.766666666666667,2.7,15.933333333333332,2016-17,3.7796721762494196
Kris Humphries,PF,31,ATL,62.0,4,12.3,1.6,3.8,0.4615876475930972,0.21383647798742142,1.0,0.352,1.2,2.9,0.425,0.451,1.1,1.5,0.7823695215118617,1.1,2.6,5.505660377358491,0.8635220125786164,0.40377358490566034,0.4,0.7742138364779875,1.2,7.6226415094339615,2016-17,-1.9980890615981113
Ryan Kelly,PF,25,ATL,49.0,0,6.9,0.5,1.8,0.37633333333333335,0.6000000000000001,0.6,0.4,0.3,1.1,0.222,0.357,0.3,0.4,0.7773333333333333,0.1,1.1,3.3000000000000003,1.3333333333333333,0.5,0.3,0.6666666666666666,0.3,6.2,2016-17,-5.753584233547394
Paul Millsap,PF,31,ATL,76.0,67,34.0,6.2,14.1,0.46900000000000003,1.0,3.5,0.311,5.1,10.6,0.486,0.481,4.5,5.9,0.7483333333333334,1.6,6.1,8.433333333333334,3.1666666666666665,1.7666666666666666,0.9,2.4,2.7,17.23333333333333,2016-17,5.665168640008176
Mike Muscala,C,25,ATL,40.0,3,17.7,2.4,4.8,0.4916666666666667,0.13333333333333333,1.6,0.418,1.8,3.2,0.546,0.573,0.7,0.9,0.8916666666666666,1.1,2.3,2.533333333333333,0.5333333333333333,0.26666666666666666,0.6,0.5333333333333333,1.4,4.0,2016-17,0.4798626231458217
Gary Neal,SG,32,ATL,48.666666666666664,0,9.0,0.0,3.5,0.4161430541276516,1.0734567901234568,1.0,0.0,0.0,2.5,0.0,0.0,2.0,2.0,0.8631117072800937,0.0,0.5,2.082003798670465,1.5547483380816711,0.42255460588793925,0.0,1.0446343779677114,0.5,10.118613485280152,2016-17,-8.995599927560392
Dennis Schröder,PG,23,ATL,68.66666666666667,78,31.5,6.9,15.4,0.4103333333333334,0.6333333333333333,3.7,0.34,5.7,11.6,0.487,0.493,2.8,3.2,0.7639999999999999,0.5,2.6,1.9666666666666668,3.466666666666667,0.6,0.2,1.7999999999999998,1.9,8.233333333333333,2016-17,4.294805251269411
Mike Scott,PF,28,ATL,74.33333333333333,0,10.8,0.9,3.3,0.46366666666666667,0.8666666666666667,1.5,0.148,0.7,1.8,0.406,0.322,0.4,0.4,0.7886666666666667,0.6,1.5,3.0666666666666664,1.0,0.3666666666666667,0.2,0.7333333333333334,0.7,7.866666666666666,2016-17,-5.086048718726344
Thabo Sefolosha,SF,32,ATL,62.666666666666664,42,25.7,2.8,6.4,0.446,0.6333333333333333,1.9,0.342,2.1,4.4,0.484,0.492,0.9,1.2,0.7233333333333333,0.9,3.5,4.133333333333334,1.4333333333333333,1.1333333333333333,0.5,0.8333333333333334,1.6,6.0,2016-17,2.5963591965835935
Anthony Bennett,PF,23,BRK,42.666666666666664,1,11.5,1.7,4.0,0.35766666666666663,0.20000000000000004,2.1,0.271,1.1,1.9,0.568,0.484,1.1,1.6,0.7263333333333333,1.1,2.3,2.6666666666666665,0.3666666666666667,0.39999999999999997,0.1,0.5666666666666667,0.8,3.6333333333333333,2016-17,-3.5351863821199134
Trevor Booker,PF,29,BRK,76.66666666666667,43,24.7,4.3,8.3,0.5093333333333333,0.20000000000000004,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.6229999999999999,2.0,6.0,5.333333333333333,1.0333333333333334,0.6,0.4,0.9666666666666668,2.1,6.633333333333333,2016-17,2.8455199314136967
