PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
DeAndre' Bembry,SG,25,ATL,56.0,4,21.3,2.4,5.3,0.441,0.4333333333333333,1.5,0.231,2.1,3.8,0.546,0.489,0.6,1.1,0.5745,0.8,2.7,3.4,2.0,0.9500000000000001,0.4,1.5166666666666666,2.0,6.383333333333334,2019-20,-1.2127201239508114
Vince Carter,PF,43,ATL,69.5,0,14.6,1.8,5.1,0.4095,1.3833333333333335,3.4,0.302,0.8,1.7,0.451,0.452,0.4,0.5,0.7358333333333333,0.3,1.8,2.6833333333333336,1.25,0.6666666666666666,0.4,0.6166666666666666,1.5,6.833333333333333,2019-20,-1.4825510430076032
Damian Jones,C,24,ATL,18.666666666666668,27,16.1,2.2,3.2,0.608,0.0,0.2,0.222,2.2,3.1,0.704,0.685,1.1,1.5,0.5745,1.3,2.4,2.2333333333333334,0.6333333333333333,0.3,0.7,0.5499999999999999,2.7,3.583333333333334,2019-20,0.8321288244652213
Chandler Parsons,PF,31,ATL,30.166666666666668,0,10.8,1.0,3.6,0.3973333333333333,1.1833333333333333,2.8,0.286,0.2,0.8,0.25,0.389,0.0,0.0,0.7856666666666667,0.2,1.2,2.65,1.75,0.6666666666666666,0.2,1.1,0.6,7.416666666666667,2019-20,-4.897412704990727
Evan Turner,SG,31,ATL,73.66666666666667,0,13.2,1.3,3.5,0.45,0.35000000000000003,0.3,0.0,1.3,3.3,0.403,0.373,0.6,0.7,0.7748333333333332,0.4,1.6,3.9166666666666665,3.216666666666667,0.5833333333333334,0.4,1.4833333333333334,1.1,7.633333333333333,2019-20,-4.159312250472722
Justin Anderson,SG,26,BRK,49.166666666666664,1,10.7,1.0,3.8,0.4185740994072047,0.6773333333333333,2.9,0.207,0.4,0.9,0.444,0.342,0.2,0.4,0.7512843137254901,0.1,2.0,2.242,0.626,0.4666666666666666,0.6,0.5326666666666667,1.3,5.1066666666666665,2019-20,-8.07967214717888
Wilson Chandler,PF,32,BRK,62.0,3,21.0,2.1,5.2,0.4298609898107715,1.2411764705882353,3.5,0.306,1.1,1.8,0.597,0.505,0.6,0.7,0.7490882352941176,0.3,3.8,4.9980392156862745,1.8421568627450984,0.5578431372549019,0.3,1.1284313725490198,2.3,8.947058823529412,2019-20,-0.5565167316638602
Jamal Crawford,SG,39,BRK,72.33333333333333,0,6.0,2.0,4.0,0.4056666666666667,1.1666666666666667,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,0.8663333333333334,0.0,0.0,1.3166666666666667,3.0,0.5333333333333333,0.0,1.4166666666666667,1.0,9.433333333333335,2019-20,-2.859923379465697
Spencer Dinwiddie,PG,26,BRK,70.5,49,31.2,6.6,16.0,0.424,1.6000000000000003,6.3,0.308,4.7,9.7,0.485,0.476,5.4,7.0,0.806,0.5,3.0,2.733333333333333,5.016666666666667,0.7166666666666667,0.3,1.816666666666667,2.8,13.816666666666668,2019-20,4.6003687537561735
Henry Ellenson,C,23,BRK,25.333333333333332,0,3.0,0.2,1.4,0.38978070175438595,0.7052631578947368,0.8,0.0,0.2,0.6,0.333,0.143,0.0,0.0,0.7388837209302327,0.4,0.8,2.824561403508772,0.6622807017543859,0.2289473684210526,0.0,0.5070175438596491,0.2,4.866666666666666,2019-20,-9.052874603327782
