PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Justin Anderson,SF,25,ATL,54.72008719713517,4,9.6,1.3,3.3,0.4230756314303948,0.7330224552245735,1.6,0.312,0.8,1.7,0.5,0.484,0.5,0.7,0.7752876157697074,0.5,1.3,2.6906013335465966,0.7049725038952331,0.4099900422504629,0.3,0.569176363191446,1.0,5.941782203004032,2018-19,-2.75516435239229
Kent Bazemore,SG,29,ATL,70.14046056819167,35,24.5,4.1,10.3,0.42131290490142387,1.5153312580596605,4.5,0.32,2.7,5.8,0.465,0.472,1.9,2.6,0.7705672769316665,0.6,3.3,3.9088864149254574,2.835393338980705,1.3494393957998714,0.6,2.016534462880036,2.5,11.93841014156927,2018-19,2.368262308324946
Vince Carter,PF,42,ATL,63.598582570826586,9,17.5,2.6,6.2,0.3963125532799188,1.1705406887010545,4.2,0.389,1.0,2.0,0.48,0.55,0.6,0.9,0.7780584035914252,0.4,2.1,2.7223044977215585,1.3322945399720214,0.7099900422504628,0.4,0.6341081377402109,1.9,6.576228727122458,2018-19,0.9705018448011543
Dewayne Dedmon,C,29,ATL,65.81041546403961,52,25.1,4.0,8.2,0.5658673084068184,0.3341901341603295,3.4,0.382,2.8,4.8,0.57,0.571,1.4,1.8,0.7447192421158043,1.6,5.9,6.4577622520471305,0.879491518971379,0.5176556712802932,1.1,1.0024064096407512,3.3,6.9780879033037815,2018-19,4.5322943943200125
Alex Len,C,25,ATL,73.89927961329418,31,20.1,4.2,8.4,0.507976508408915,0.0,2.6,0.363,3.2,5.8,0.554,0.551,1.8,2.8,0.707231972979367,2.1,3.5,7.217144855827849,0.9953511735587345,0.45822623322995876,0.9,1.3611610393984053,2.6,8.450049788747684,2018-19,0.9320236697449205
Miles Plumlee,C,30,ATL,53.03627195536378,0,9.6,1.8,2.7,0.5507491736111896,0.0,0.0,,1.8,2.7,0.667,0.667,0.9,1.7,0.5449849026102438,0.9,1.3,3.3568523379732746,0.5717793990154838,0.3197069240276773,0.2,0.8572416050663261,0.8,3.8933994983067204,2018-19,-3.5878987930706563
Allen Crabbe,SG,26,BRK,77.8114112389933,20,26.3,3.2,8.7,0.44034737367619753,2.045383381231168,6.0,0.378,0.9,2.7,0.342,0.499,1.0,1.3,0.8539123074364515,0.4,3.1,3.436596543801081,1.3670950670801647,0.6823443287197067,0.3,0.8835475335400824,2.4,11.647871787292038,2018-19,0.002857368469687316
Ed Davis,C,29,BRK,67.80893878782496,1,17.9,2.3,3.7,0.5705758533123131,0.0,0.0,0.0,2.3,3.7,0.62,0.616,1.2,2.0,0.6238983880009669,2.7,5.9,6.683729107455571,0.6788167106786985,0.43824614872903284,0.4,0.8,2.8,5.248335768474867,2018-19,1.625216262039677
Spencer Dinwiddie,PG,25,BRK,56.436986141527115,4,28.1,5.4,12.2,0.39800030509050843,0.9806947237917545,5.4,0.335,3.6,6.7,0.528,0.517,4.2,5.2,0.748677404763853,0.4,2.1,2.6294417302236934,4.248546595584718,0.6870751515810907,0.3,1.1882783564014663,2.8,8.911057251568485,2018-19,3.1981914808107756
Jared Dudley,PF,33,BRK,61.416273550050555,25,20.7,1.7,4.1,0.43430634518781436,0.9493573993797528,2.6,0.351,0.8,1.5,0.545,0.533,0.5,0.8,0.7251396154868608,0.6,2.1,2.873393498449382,1.8229148906693722,0.6646886574394134,0.3,0.8670130706600462,2.2,5.561443446665744,2018-19,-0.9980526145680284
