PLAYER,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VALUE
Bogdan Bogdanović,28,68.16980862987612,27,29.7,6.1,12.8,0.4339432954265385,2.185953943180833,7.6,0.438,2.8,5.3,0.522,0.602,0.9,1.0,0.7942099129914317,0.5,3.2,3.313517660291471,3.5123144554710954,0.975881904510252,0.3,1.675881904510252,2.3,13.963021471436209,6.509702027647519
Clint Capela,26,56.991611988670826,63,30.1,6.6,11.0,0.641027708133282,0.0,0.0,0.0,6.6,11.0,0.594,0.594,2.1,3.6,0.5729723169838475,4.7,9.6,12.701267620165243,1.1958619890111777,0.7658918622597891,2.0,1.4835475335400825,2.3,14.820919718985692,5.131435193375644
John Collins,23,55.78059905965899,63,29.3,6.8,12.2,0.5734668616354691,0.9400421654219704,3.3,0.399,5.5,8.9,0.615,0.61,2.7,3.2,0.7668796078698362,1.9,5.5,9.322368913066423,1.6223044977215586,0.6153312580596605,1.0,1.77174389352143,3.1,18.20662050809355,4.186730629502545
Kris Dunn,26,49.535774067886926,0,11.3,0.3,3.0,0.4339017395058977,0.6823443287197067,0.5,0.0,0.3,2.5,0.1,0.083,0.8,1.0,0.7591358333149281,0.0,1.5,3.93936735712929,4.913882063978929,1.8294593112989452,0.5,2.0269709052380755,2.5,10.135529334483058,-3.3572098657463822
Danilo Gallinari,32,54.84023186842022,4,24.0,4.0,9.3,0.4358795722224073,2.416653728114397,5.0,0.406,2.0,4.3,0.466,0.542,3.2,3.4,0.9038869212890857,0.3,3.8,5.370545610635801,2.137537585921353,0.6739328680679542,0.2,1.2877066399033994,2.1,18.076837434020646,3.7861858352891034
Solomon Hill,29,42.54827445878684,16,21.3,1.5,4.2,0.359312260451002,0.7656664755043884,3.0,0.321,0.5,1.2,0.453,0.473,0.5,0.6,0.6572551767430377,0.6,2.4,2.914328376624153,1.6273352214631809,0.6048335092488105,0.2,0.7814685210553977,1.6,4.333128967701716,0.5543179844643937
Tony Snell,29,67.97511593939129,23,21.1,1.9,3.6,0.4449757600928399,1.422996887089491,2.3,0.569,0.6,1.3,0.419,0.696,0.2,0.2,0.9092456774704734,0.4,2.0,1.9682162754804216,1.5395313499695271,0.490009957749537,0.2,0.4317837245195782,1.6,7.052538194808554,1.6251894588635292
Spencer Dinwiddie,27,69.2232207879681,3,21.3,2.0,5.3,0.4174561304527275,1.841773766770041,2.3,0.286,1.3,3.0,0.444,0.438,2.0,2.0,0.7959916119886707,0.0,4.3,3.052456198388436,6.001384778735864,0.6723542864692438,0.3,2.264160260911719,1.3,17.374443126692153,2.122455496380626
Kevin Durant,32,70.73029094761924,32,33.1,9.3,17.2,0.5231534883913491,2.062875059671224,5.4,0.45,6.8,11.8,0.577,0.608,6.0,6.8,0.8839525159606335,0.4,6.7,6.994676365266054,5.464160260911718,0.7964723819589916,1.3,2.765281469311975,2.0,25.919369691553108,9.276415447968022
Jeff Green,34,65.12678859158554,38,27.0,3.8,7.8,0.4706427181986315,1.184177843955468,3.7,0.412,2.3,4.1,0.564,0.59,1.8,2.4,0.8371324068621827,0.5,3.4,3.2953265931490123,1.3765497134684617,0.5549950211252315,0.4,1.044885483911826,1.8,10.747676214707608,2.690587865287698
