,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
3,Bogdan Bogdanović,SG,28,ATL,64.78571428571429,27,29.7,6.1,12.8,0.4341428571428571,2.4,7.6,0.438,2.8,5.3,0.522,0.602,0.9,1.0,0.7726428571428572,0.5,3.2,3.392857142857143,3.5071428571428567,0.9928571428571429,0.3,1.6928571428571428,2.3,14.578571428571431,2020-21,6.842674474508447
4,Clint Capela,C,26,ATL,49.5,63,30.1,6.6,11.0,0.6360714285714285,0.0,0.0,,6.6,11.0,0.594,0.594,2.1,3.6,0.5617857142857143,4.7,9.6,13.271428571428572,1.2357142857142855,0.7714285714285715,2.0,1.5285714285714285,2.3,14.671428571428574,2020-21,4.778616952486059
3,John Collins,PF,23,ATL,49.07142857142857,63,29.3,6.8,12.2,0.5759285714285715,1.1714285714285713,3.3,0.399,5.5,8.9,0.615,0.61,2.7,3.2,0.7833571428571429,1.9,5.5,9.814285714285713,1.6285714285714286,0.6714285714285715,1.0,1.8285714285714287,3.1,20.207142857142856,2020-21,4.729055859156832
4,Kris Dunn,PG,26,ATL,49.642857142857146,0,11.3,0.3,3.0,0.4375,0.6428571428571429,0.5,0.0,0.3,2.5,0.1,0.083,0.8,1.0,0.7567142857142857,0.0,1.5,3.7928571428571423,4.328571428571428,1.8571428571428572,0.5,1.7,2.5,8.87857142857143,2020-21,-9.230832758423245
4,Danilo Gallinari,PF,32,ATL,61.357142857142854,4,24.0,4.0,9.3,0.44144785473244413,2.651836734693877,5.0,0.406,2.0,4.3,0.466,0.542,3.2,3.4,0.8971567944250872,0.3,3.8,5.395102040816327,2.0859183673469386,0.6912244897959183,0.2,1.273469387755102,2.1,18.62204081632653,2020-21,3.4217656813658444
4,Solomon Hill,PF,29,ATL,51.357142857142854,16,21.3,1.5,4.2,0.3812544722491208,0.9209443099273608,3.0,0.321,0.5,1.2,0.453,0.473,0.5,0.6,0.6896206088992975,0.6,2.4,2.8681598062953992,1.653874092009685,0.6313559322033899,0.2,0.7953995157384988,1.6,4.9204600484261505,2020-21,-0.15347809116262467
4,Tony Snell,SG,29,ATL,64.42857142857143,23,21.1,1.9,3.6,0.44628571428571423,1.5071428571428573,2.3,0.569,0.6,1.3,0.419,0.696,0.2,0.2,0.9511428571428571,0.4,2.0,1.957142857142857,1.7642857142857145,0.4785714285714286,0.2,0.4428571428571429,1.6,7.3500000000000005,2020-21,1.4092442234405644
4,Spencer Dinwiddie,SG,27,BRK,66.28571428571429,3,21.3,2.0,5.3,0.42071428571428576,1.864285714285714,2.3,0.286,1.3,3.0,0.444,0.438,2.0,2.0,0.7885000000000001,0.0,4.3,3.164285714285714,6.157142857142857,0.6214285714285713,0.3,2.4785714285714286,1.3,18.942857142857143,2020-21,-1.2293033792104522
3,Kevin Durant,PF,32,BRK,74.0,32,33.1,9.3,17.2,0.5207142857142857,2.007142857142857,5.4,0.45,6.8,11.8,0.577,0.608,6.0,6.8,0.8854285714285715,0.4,6.7,6.6499999999999995,5.678571428571429,0.7285714285714285,1.3,2.8785714285714286,2.0,26.05,2020-21,6.457359460973664
4,Jeff Green,C,34,BRK,58.42857142857143,38,27.0,3.8,7.8,0.46769512195121943,1.2776785714285714,3.7,0.412,2.3,4.1,0.564,0.59,1.8,2.4,0.8157142857142857,0.5,3.4,3.1553571428571425,1.2982142857142855,0.5607142857142857,0.4,0.9973214285714286,1.8,10.360714285714286,2020-21,2.5186722653512033
